 summons, call	citatio
broken	concisus
broken	fragosus
broken	infractus
broken off	deruptus
broken, weakened, impaired	infractus
bronze	pyropus
brood	revolvo
brood over	incubo
broom	scopae
broom	virga
broth	iuris
broth	ius
brothel	ganea
brothel	ganea ganeum
brothel	ganeum
brother	frater
brow	frons
browse	pasco
browse	tondeo
browse	tonsum
browse	totonsi
bruise	frendo
bruise	obtero
bruises	livor
brush	peniculus
brutal	ferinus
brute	bellua
bubble up	ebullio
buffet	plaga
buffoon	balatro
build	condo
build	constructum
build	construo
build	construxi
build	molior
build	texo
build a road	munio
build beneath	substruo
building	aedificium
building	edificium
building	operis
building	opus
building, structure	aedificium
building, structure	edificium
built in	instruo
bull	bos
bulwark	agger
bundle	facis
bundle	fascis
bundle	sarcina
bundle, pack, burden, load	sarcina
Bunna	Hunnam
burden	fascis
burden	gravo
burden	onero
burden	onus
burden	sarcina
burdened	onustus
burdensome	gravis
burgeon	pullulo
burgess	civis
burial	sepultura
buried	seputus
buried, sunk, immersed	seputus
burn	aduro
burn	extermino
burn	exuro
burn	exussum
burn	ustilo
burn	ustulo
burn down	extermino
burn down	exuro
burn down	exussum
burn down, burn, set on fire	exuro; exussum
burn up	comburo
burn up	concremo
burn up	peruro
burn up	perussi
burn up	perustum
burn with desire	aestuo
burning	ardens
burning	igneus
burning up	exustio
burning up, conflagration	exustio
burning wood	carbo
burning wood	carbonis
burnt wood	carbo
burnt wood	carbonis
burst forth	erumpo
burst forth	prosilio
burst upon	irrumpo
bursting forth	eruptio
bury	effero
bury	elatum
bury	extuli
bury	humo
bury	infodi
bury	infodio
bury	infossum
bury	sepelio
bury	tectum
bury	tego
bury	texi
bury	tumulo
bush	frutex
bushel	modius
business	negotium
business	rei
business	res
bustle	tumultuor
bustle	tumultus
bustle about	satago
busy	districtus
busy oneself in	exercitatio
busy oneself with	insudo
but	ac
but	at
but	atque
but	autem
but	ceterum
but	quod
but	sed
but	tamen
but come now	quin
but come now, rather, indeed	quin
but if	sive
but now	nam
but now, on the other hand /surely	nam
but, on the other hand, however, moreover	autem
but/ and indeed, what is more	sed
butcher	iuguolo
butcher	macellarius
butcher	trucido
butcher, slaughter-house	macellarius
butler	promus
buttering up	adulatio
buttocks	puga
buttocks	puga pyga
buttocks	pyga
buy	emi
buy	emo
buy	emptum
buy	paro
buy	redimo
buy	reparo
buy	sumo
buy back	redimo
buy up	emercor
buying	emptio
buying back	redemptio
buzz	susurro
by	a
by	ab
by	abs
by	per
BY	quo
by a great deal	multo
by a lot	multo
by all means	immo
by all means	ymo
by all means, by no means, on the contrary	immo
by birth	natu
by bribery	venaliter
by bribery, corruption	venaliter
by chance	forte
by chance	fortuito
by chance	fortuitus
by chance, by luck, accidentally	forte
by day	diu
by day, for a long time, a long time ago	diu
by degrees	sensim
by divine communication	divinitus
by divine influence	divinitus
by far	multo
by feudal tenure	tenura
by force	coactu
by force	violenter
by force of arms	armis
by force of arms	hostiliter
by force, under compulsion	coactu
by how much	quanto
by how much (+ comp. adj. or adv.)	quanto
by inspiration	divinitus
by kinds	generatim
by kinds, according to classes /generally	generatim
by luck	forte
by luck	fortuitus
by means of	per
by much	multo
by much, by far, by a great deal, by a lot	multo
by name	nominatim
by name, expressly	nominatim
by no means	haud
by no means	immo
by no means	minime
by no means	nequaquam
by no means	nequequam
by no means	ymo
by no means, not at all	nequaquam
by no means, not at all	nequequam
by now	iam
by order of	iussu
by request	oratu
by stealth	furtim
by stealth	occulte
by stealth, stealthily	furtim
BY THAT	illa
by the roots	radicitus
by the roots, utterly	radicitus
BY THESE	his
BY THESE	illis
BY THIS	hac
BY THOSE	illis
by turns	alternis
by turns	invicem
by turns	vices
BY WHICH	quibus
by which route	qua
by which route, where	qua
BY WHOM	qua
BY WHOM	quibus
by-way	diverticulum
by-way	semita
cabin	casa
cajole	palpo
cake	crustum
cake	laganum
calamity	calamitas
calamity	lues
calamity	scelus
calamity, misfortune, disaster	calamitas
calculate	duco
calculation	compotus
calculation	computus
call	adsumo
call	advoco
call	appello
call	citatio
call	clamo
call	dico
call	nuncupo
call	titulo
call	voco
call as a witness	obtestor
call aside	devoco
call away	avoco
call away	devoco
call back	revoco
call down	devoco
call for	accerso
call for	arcesso
call forth	excito
call forth, bring about, wake, raise up	excito
call in an advisor	advoco
call into question	voco in dubium
call out to	increpito
call someone by name	exclamo
call to witness	testificor
call together	convoco
call upon	posco
called	accersitus
caller	salutor
calm	aequus
calm	alcedonia
calm	equus
calm	quietus
calm	sedo
calm the sea	aequor
calmed	sedatus
calmly	lente
calmly	quiete
calmly	summisse
calumny	ciminatio
calumny	criminatio
canal	canalis
cancel	oblittero
candidly	candide
candies	cuppedia
candle	candela
candor	libertas
cane	baculum
cane	baculus
canon	canonus
canon	magister
canon law	instituta apostolica
canon, member of a cathedral chapter or canonry	canonus
canonical	canonicus
canonical, according to the canons, legal, lawful	canonicus
canvas sail	carbasum
capable	idoneus
capable of being penetrated	penetrabilis
capable of being penetrated / penetrating	penetrabilis
capable of enduring	patiens
capable of flight	pennipotens
capacity	concepta
capacity	facultas
cape	amiculum
capital	capitis
capital	caput
caprice	libido
capricious	ludicer
capricious	morosus
captain	capitis
captain	caput
captive	captivus
captivity	captivas
captivity	ligatio
capture	excipio
capture	expugno
captured	captus
carbon	carbo
carbon	carbonis
carbon, coal, charcoal	carbo
card	pecto
cardinal point	cardo duplex
care	cautio
care	cura
care	tutela
care for	curo
care nothing for	curo
careful	cautus
careful	curiosus
careful	diligens
careful of one's property	attentus
careful, attentive/ curious	curiosus
careful, cautious /[things] secure	cautus
carefully	blande
carefully	dilgenter
careless	incuriosus
carelessly	incuriose
carelessness	incuria
carelessness	negligentia
carelessness, neglect	incuria
caress	blandior
caress	fotum
caress	foveo
caress	fovi
caress	palpo
caress by stroking	demulceo
caretaker	providor
carnage	caedes
carnage	strages
carpenter	lignarius
carpenter's axe	ascia
carpenter's axe, mason's trowel	ascia
carpet	vestis
carress, stroke /coax, cajole, flatter	palpo
carriage	gestum
carriage, bearing / having borne	gestum (gero)
carrier	cursor
carrier of a burden	baiulus
carry	adveho
carry	affero
carry	bajulo
carry	deporto
carry	fero tuli latum
carry	gesto
carry	subveho
carry	vectum
carry	veho
carry	vexi
carry a burden	baiulo
carry across	transfero
carry across	translatum
carry across	transmitto
carry across	transporto
carry across	transtuli
carry across, transfer, convey	transfero transtuli translatum
carry away	absorbeo
carry away	aufero
carry away	aveho
carry away	rapio
carry away	rapui
carry away	ratum
carry away	tollo sustuli sublatum
carry back	refero
carry by	praefero
carry by	prefero
carry down	defero
carry forward	proveho
carry in	infero
carry in front	praefero
carry in front	prefero
carry off	asporto
carry off	aufero
carry off	deporto
carry off by stealth	subtraho
carry on	proveho
carry on	se gero
carry out	adimpleo
carry out	effero
carry out	elatum
carry out	eveho
carry out	exsequor
carry out	extuli
carry out	profero
carry through	peracto
carry through	perduco
carry upstream	subveho
carrying about	gestum
carrying about, conduct (oneself)	gestum (gero)
carrying laurel	laurifer
carrying laurel, crowned with laurel / tiumphant	laurifer
cart	currus
cart	plaustrum
cart /a plow with wheels	currus
case	causa
case	placitum
case	res
case	theca
case at law	causa
case at law, case, law-suit /situation	causa
case for papers	scrinium
case, envelope, covering	theca
casket	pyus
casket	pyxidis
cast	contendo
cast	fundo
cast	iacio
cast	jacio
cast aside	abico
cast down	afflictus
cast down	affligo
cast down	prosterno
cast down headlong	praecipito
cast off	respuo
cast to the ground	fundo
castellan	castellanus
caster of spells	veneficus
casting lots	sortitus
casting lots, deciding by lot	sortitus
castle	castellum
castle	castrum
castle	moenia
castle in Hannonia	Trellum
castrate	castro
casual	fortuitus
cat	cattus
catapult	ballista
catch	mancipo
catch	reprehendo
catch at	capto
catch cold	algesco
catch red-handed	comprehendo
catch sight of	conspicio
catching	captus
category	genus
category	numerus
cathedral	basilica
cattle	capitale
cattle, possessions, chattels	capitale
caught in a net	irretitus
cauldron	lebes
cause	addo
cause	adfero
cause	affero
cause	causa
cause	concilio
cause	efficio
cause	exhibeo
cause	exibeo
cause	facio
cause	indo
cause	infero
cause /reason, motive, pretext /interest	causa
cause damage	inflictum
cause damage	infligo
cause damage	inflixi
cause great pain	excrucio
cause of a crime	crimen
cause of offense	offensio
cause sadness	tristifico
cause to degenerate	degenero
cause to fail	fatuo
cause to grieve	paeniteo
cause to stand	constituo
cause to stand	statuo
cause to turn	converto
causing calamity	funestus
causing dread	formidilosus
causing dread, fear, terror	formidilosus
causing paleness	pallidus
caution	cautela
caution	cautio
caution, precaution, security	cautela
cautious	cautus
cautiously	caute
cautiously	cautim
cautiously	praecidentius
cautiously, with security	caute
cavalry	equitatus
cavalry man rider	eques
cavalry man rider	equitis
cavalry, horsemen (classical)	equitatus
cave	cavea
cave	caveo
cave	caverna
cave	specus
cave, cavern, grotto, den	specus
cavern	caverna
cavern	specus
cavity	cavea
cavity	caveo
cavity	caverna
cavity	cavum
cease	cesso
cease	desino
cease	finio
cease	subsisto
ceaseless	jugis
celebrate	concino
celebrate	sono
celebrate	tripudio
celebrated	celebris
celebrated	inclitus
celebrated	inclutus
celebrated, famous, renowned	inclutus  inclitus
celebration	celebritas
celebration of transfer	translatio
celestial	aether
celestial	aetherius
celestial	caelestis
celibacy	viduitas
celibate	caelebs
cell	arca
cell	archa
cell	carcer
cellar	cellarius
censure	arguo
censure	culpo
censure	invidia
census	censeo
census	census
central	medius
ceremoniously	officiose
ceremony	ritus
certain	certus
certain	liquidus
certain	quendam
certainly	certe
certainly	certo
certainly	etiam
certainly	nam
certainly	nimirum
certainly	omnino
certainly	quidem
certainly	quippe
certainly	scilicet
certainly	utique
certainly, assuredly	certe
certainly, to be sure, indeed, of course	quippe
chafe	peruro
chafe	perussi
chafe	perustum
chaff	palea
chain	catena
chain	vinculum
chain, fetters	catena
chair	sessio
chair of state	solium
chair of state, throne / bath-tub	solium
chalk	creta
chalk, fuller's earth	creta
chalked	cretatus
chalked, in white	cretatus
challenge	lacesco
challenge	lacesso
chamberlain	cubicularius
champion	agonotheta
champion of the field	campeador
chance	alea
chance	casus
chance	fors
chance	fors-itis
chance	fortis
chance	fortuna
chance, luck	fors-itis
chance, luck, fortune	fors fortis
change	abeo
change	inclino
change	inflecto
change	mutatio
change	muto
change	novo
change	vicissitudo
change, alteration	vicissitudo
change, alteration, transformation	mutatio
changeability	inconstantia
changeability, inconsistency / faithlessness	inconstantia
changeable	inconstans
changeable	varius
changeable	volubilis
changeableness	varietas
changeably	inconstanter
changed	mutatus
changing	transitus
changing	varius
channel	canalis
channel	fossa
channel, canal /pipe	canalis
chapter	capitulus
chapter house	capitulus
chapter meeting	capitulus
chapter, chapter meeting, chapter house	capitulus
character	animus
character	ars
character	mores
character	morium
character	persona
character	virtus
character, intellect, memory, consciousness	animus
characteristic	proprius
characteristic, particular	proprius
charcoal	carbo
charcoal	carbonis
charcoal burner	carbonarius
charge	bellicum
charge	ciminatio
charge	concursus
charge	crimen
charge	criminatio
charge	cura
charge	decursio
charge	decursus
charge	mandatum
charge	miseratio
charge	onus
charge	procella
charge	tutela
charger	campitor
charity	caritas
charity	sanctimonia
Charles' Wain	plaustrum
charm	blanditia
charm	duco
charm	dulcedo
charm	iucunditas
charm	lepor
charm	lepos
charm	venustas
charm, wit, elegance	lepor  lepos
charming	bellus
charming	decorus
charming	lepidus
charming	venustus
charming, witty, pleasant, elegant	lepidus
charmingly	belle
charmingly	dulcidine
charmingly	lepide
charminly, wittily, elegantly, pleasantly	lepide
charms	deliciae
chase	fugo
chase away	fugo
chasm	abyssus
chasm	profundum
chasm	vorago
chasm, pit, abyss	vorago
chaste	castus
chaste	integer
chaste	pudicus
chastely	caste
chasten	castigo
chastise	castigo
chastisement	livor
chastity	castimonia
chastity	castitas
chasuble	casula
chattels	capitale
chatter	effutio
chatter	garrio
chattering	garrulitas
chattering	garrulus
cheap	insumptuosus
cheap	vilis
cheap, worth little	vilis
cheapness	vilitas
cheapness, low-price, worthlessness	vilitas
cheat	circumvenio
cheat	decipio
cheat	deludo
cheat	impono
check	castigo
check	compescor
check	confuto
check	infreno
check	inhibeo
check	oppressi
check	oppressum
check	opprimo
check	refreno
check	reprehendo
check	retundo
check	sisto
checked	sedatus
cheer	laetifico
cheer	laeto
cheer	letifico
cheer	leto
cheerful	erectus
cheerful	hilaris
cheerful, merry, gay	hilaris
cheese	caseus
cherish	alo
cherish	amo
cherish	colo
cherish	colui
cherish	cultum
cherish	foveo
cherish again	refoveo
chessboard	scaccarium
chessboard, game of chess	scaccarium
chest	arca
chest	archa
chest	armarium
chest	scrinium
chest, box, money box, coffin, cell	arca archa
chestnut	balanus
chestnut	castanea
chevaux de frise	ericius
chew the cud	rumino
chick	pullus
chide	increpo
chief	capitis
chief	caput
chief	potissimus
chief	praecipuus
chief	primus
chief noble	procer
chief noble, prince	procer
chief steward	major domus
chief, prince	princeps
chiefly	potissimum
chiefly	praecipue
chiefly	praesertim
chiefly	precipue
chiefly	presertim
chiefly, especially, particularly	precipue
chiefly, most of all	potissimum
chiefs	proceres
child	genus
child	liber
child	parvulus
child, infant, young, little /very small, tiny	parvulus
child, offspring	liber
childish	puerilis
childish, boyish, folish, foolish	puerilis
childishly	pueriliter
chill	gelu
chirp	pipio
choke	praefoco
choke	prefoco
choke	suffoco
choose	capio
choose	desumo
choose	eligo
choose	lego
choose	mallui
choose	malo
choose	malus
choose	sumo
choose out	diligo
chop up	conseco
chosen	electus
chosen body	legio
chosen, select	electus
Christ	Sarcalogos
Christ's thorn	paliurus
church	ecclesia
church province	suffragium
circle	orbis
circle, orb, ring, disk, orbit	orbis
circuit	ambitus
circuitous	cyclicus
circumference	ambitus
circumscribed	angustata
circumspect	cautus
circumstance	res
citadel	arcis
citadel	arx
citadel	castellum
citadel, stronghold, fortress, keep, donjon	arx
citation	citatus
cite	laudo
cite	profero
citizen	citizen
citizen	civis
citizen, townsman, bourgeois, burgess	civis
citizenship	civitas
city	civitas
city	moenia
city	urbis
city	urbs
city	urbs urbis
city and monastery	Nivellensem
city-state	civitas
civic	civilis
civil	civilis
civil	domesticus
civil, civic	civilis
clad	indutus
claim	adsumo
claim	assero
claim	vindico
claim, arrogate, assume, appropriate	vindico (vindicatum)
claim, defend	assero
clan	gens
clan, race, nation, people, tribe	gens
clarification	declaratio
clarify	expedio
clash	incursio
clash, collision / attack, raid, foray, invasion	incursio
class	genus
class	numerus
class	ordo
clean	abluo
clean	mundo
clean	mundus
clean	purgo
clean	tergeo
clean	tergo
clean	tersi
clean	tersum
clean	tersus
clean away	abstergo
clean pure	castus
clean, neat, correct	tersus
clean, neat, elegant	mundus
cleaned	lautus
cleaning out	purgatio
cleaning out, cleansing /excsuing, justification	purgatio
cleanse	abluo
cleanse	defaeco
cleanse	deluo
cleanse	emundo
cleanse	purgo
cleansing	purgatio
clear	clarus
clear	evidens
clear	expedio
clear	liquidus
clear	lucidus
clear	perspicuus
clear	puto
clear away	purgo
clear up	extrico
clear, bright /renowned, famous, illustrious	clarus
clear, distinct, plain, visible, evident	evidens
clearly	candide
clearly	evidenter
clearly	plane
clearly	videlicet
clearly, distinctly, plainly	evidenter
clearness	lumen
cleave	adhaero
cleave to	cohaero
cleave to	inhaero
cleave to	inhero
clever	callidus
clever	sollers
clever, dextrous, experienced, skilful / cunning	callidus
clever, skillful	sollers
cleverly	callide
cleverly	ingeniose
climb	ascendo
climb	escendo
climb	scensi
climb	scensum
clime	clima
clime	ora
cling to	cohaereo
cling to	inhaero
cling to	inhero
clinging	tenax
clip	tondeo
clip	tonsum
clip	totonsi
cloak	amiculum
cloak	pallium
cloak, cape	amiculum
cloaked	palliata
cloddish	agrestis
cloister	claustrum
close	claudo
close	occludo
close	propinquus
close	propter
close	termino
close at hand	subesse
close at hand	subsum
close by	iuxta
close by, near/ in like manner, equally	iuxta
close off	occludo
close to	iuxta
close to	sub
close to, near to/ (time) just before	iuxta
closely	prope
closeness	propinquitas
closest	proximus
closing of a bargain	venditio
cloth	tela
clothe	vestio
clothes	induviae
clothes, clothing, garb	induviae
clothing	exuviae
clothing	induviae
clothing	vestis
clothing	vestitus
clothing, garment, covering, blanket, carpet	vestis
clown	fossor
club	stipes
clumsy	inconcinnus
clumsy	rudis
cnquer, vanquish /end a war	debello
coal	carbo
coal	carbonis
coast	ora
coast-line	ora
coax	blandior
coax	palpo
coax out	expalpo
cock	gallo
coerce	coacto
coercion	coactum
coffin	arca
coffin	archa
coffin	capulus
coil	orbis
coin	lammina
coin	lamna
coin	lamnia
coincide	congruo
coinside, agree, conform	congruo
cold	algidus
cold	algor
cold	frigus
cold	gelidus
cold	gelu
cold of winter	frigus
cold, coolness, cold of winter /dullness	frigus
cold, frosty, icy, freezing	gelidus
coldly	gelide
coldly, weakly, feebly	gelide
colewort	eruca
collateral	pignus
collect	coaduno
collect	compello
collect	confero
collect	congero
collect	lego
collect in a mass	coacervo
collect in large number	frequento
collected	coadunati
collide with	incurso
collision	incursio
collision	offensus
collision, shock /dislike, displeasure	offensus
color	color
color	coloro
color of rust	ferrugo
colored	coloratus
colored	infucatus
colored /dark-complexioned	coloratus
coma	lethargus
comb	pecto
comb back	repecto
combat	agon
combat	agonia
combat	certamen
combatant	preliator
combatant	proeliator
combatant	pugnator
combative	pugnax
combination	iunctura
combined in one	universus
combined in one, whole, entire	universus
combining	confusio
come	adveho
come	advenio
come	venio
come about	evello
come about	occuro
come about	venio
come around	circumvenio
come back	redeo
come back	revenio
come back	reversus
come back	reverti
come back	revertor
come before	praevenio
come close	appropinquo
come forth	exorior
come forward	exorior
come in haste	affluo
come near	accedo
come near	propinquo
come often	ventito
come out	egredior
come out	procedo
come quickly	propero
come to	adeo
come to	devenio
come to	pervenio
come to	prevenire
come to	venire contra
come to a boil	infervesco
come to a conclusion	consulo
come to ones assistance	subvenio
come to pass	evenio
come to pass	venio
come to the aid	subvenio
come together	convenio
come up	emergo
come up	emersi
come up	emersum
come up	supervenio
come up to	adipiscor
come up to aid	subvenio
come upon	incurro
come upon	invenio
come-on	lactatio
comely	decet
comet	cometes
comfort	commodum
comfort	consolo
comfort	levamentum
comfort, easing, alleviation, consolation	levamentum
coming	ventio
coming from	oriundus
coming to maturity	adolescens
coming together	congressio
coming together	conventus
coming tohether, assembly, union, congress	conventus
command	duco
command	gubernatio
command	imperium
command	impero
command	iubeo
command	iussi
command	iussum
command	mandatum
command	mando
command	nutus
command	praeceptum
command	praesedere
command	praesedi
command	praesieo
command	preceptum
commandeer	occupo
commander	ducis
commander	ductor
commander	dux
commander in chief	imperator
commander in chief, general, emperor	imperator
commander of a legion	legatus
commence	incipio
commence	ineo
commencement	exordium
commencement	initium
commend	laudo
commendation	laudatio
commission	mandatum
commission, charge, entrust	mandatum
commit	comitto
commit	commendo
commit	credo
commit	delego
commit	mando
commit	trado
commit a crime	delinquo
commit oneself to	adstringo
commit oneself to	se astringo
commodious	commodus
common	communis
common	plebeius
common	profanus
common	vulgaris
common people	plebs
common people	vulgus
common talk	fama
common talk	sermo
common, general, run of the mill	communis
common, ordinary, usual	vulgaris
commonly	plerumque
commonplace	promiscus
commonplace	promiscuus
commonwealth	res publica
commonwealth, state, republic, public business	res publica
commotion	tumor
communicate	defero
compact	adstringo
compact	foederis
compact	foedus
compact, covenant, agreement / law	foedus
companion	comes
companion	comitis
companion	compar
companion	consors
companion	socius
companion	socius-i
companion in war	commilito
companion, friend, comrade /count	comes comitis
companionship	sodalitas
company	coitus
company	consortio
company	vexillum
compare	comparo
compare	contendo
compass	complector
compass	tracto
compassion	pietas
compassionate	pius
compassionately	clementer
compel	coacto
compel	cogo
compel	compello
compel	subigo
compensation	mercedis
compensation	merces
compete	contendo
compile	congero
complain	postulo
complain	queror
complain excessively	queritor
complain loudly	conqueror
complain of	criminor
complainant	postulator
complaining	querela
complaining	querella
complaining	queribundus
complaining	querulus
complaining, plaintive, whining	queribundus
complaining, whining, lamenting	querulus
complaint	postulatio
complaint	querela
complaint	querella
complaint	querimonia
complaint	questus
complaint, a charge in court	querimonia
complaint, complaining	quereia querella
complaint, lament	questus
complete	compleo
complete	consummo
complete	exigo
complete	expleo
complete	expletum
complete	expletus
complete	explevi
complete	integer
complete	peracto
complete	perago
complete	perfectus
complete	perficio
complete	perpetro
complete	plenus
complete	totus
complete	universa
complete, finish, determine, decide, settle	exigo
complete, finished, done /perfect, without flaw	perfectus
completed work	operis
completed work	opus
completely	omnino
completely	penitus
completely	plene
completely	quamtotius
completely towards	toto
completely, wholly, fully	plene
completion	consummatio
completion	peractio
completion of a course	decursus
completion, finishing, end	peractio
completion, summing up, adding up	consummatio
compliant	obsequens
comply with	subservio
compose	compono
compose	scribo
compose	scripsi
compose	scriptum
compose with great labor	elucubro
composer	digestor
composite	alienigenus
composition	compositio
composition, agreement, pact/ arrangement	compositio
comprehend	capio
comprehend	comprehendo
comprehend	intellectum
comprehend	intellego
comprehend	intellexi
comprehend	video
comprehend	vidi
comprehend	visum
compress	adstringo
compress	cogo
compress	stipo
compulsion	coactum
comrade	amicus
comrade	comes
comrade	comitis
comrade	commilito
comrade	particeps
comrade	socius
comradeship	consors
conceal	abdo
conceal	abscondo
conceal	celo
conceal	contego
conceal	dissimulo
conceal	occulto
conceal	presso
conceal	tectum
conceal	tego
conceal	texi
concealed	absconditus
concealed	occultus
concede	concedo
conceited	ventosa
conceive	concipio
conceive	fictum
conceive	fingo
conceive	finxi
conceive	imbibo
conceive	teneo iter
concentrate	defigo
concentrate	incumbo
concept	informatio
concept, idea	informatio
concern	contingo
concern	cura
concern	pertineo
concern	sollicitudo
concern oneself about others	sollicito
concern oneself about the future	sollicito
concern, anxiety, solicitude, worry	sollicitudo
concerned	sollicitus
concerning	de
concerning	super
conciliation	concilium
concise	concisus
conclude	coniecto
conclude	contraho
conclude	infero
concord	concordia
concur	concurro
condemn	contemno
condemn	damno
condemn	judico
condemn	reprobo
condemnation	damnatio
condemnations	damnationes
condemnatory	damnatiorius
condemned	damnatus
condemning	damnans
condemning	praedicatio
condescend	summitto
condition	causa
condition	facies
condition	fortuna
condition	habitudo
condition	res
condition	valetudo
conduct	ars
conduct	conduco
conduct	gestum
conduct	induco
conduct	moderor
conduct	mores
conduct	morium
conduct	perduco
conduct	se gero
conduct one's self	gradior
conduct oneself	se gero
cone shaped	tubineus
confederacy	conjuratio
confederate	complex
confer	confero
conference	colloquium
conference	placitum
confess	confessus
confess	confiteor
confess	fateor
confess	profiteor
confessor	penintentiarius
confessor, penintentiary	penintentiarius
confide	mando
confidence	fides
confidence	fiducia
confidence, trust, assurance	fiducia
confident	fidens
confident	indubitanter
confident, without fear, courageous	fidens
confidential	specialis
confidential friendship	familiaritas
confidential friendship, intimacy	familiaritas
confidently	fiducialiter
confine	claudo
confine	coangusto
confine	coarto
confine	coerceo
confine	cogo
confine	cohibeo
confine	constrictum
confine	constringo
confine	constrixi
confine	contineo
confine, restrain, hold back, repress	cohibeo
confirm	auctorizo
confirm	confirmo
confiscate	occupo
confiscation	ereptio
conflagration	exustio
conflict	certamen
conflict	pugna
conform	congruo
conformation	formamentum
confound	confundo
confounded	confusus
confounding	confundo
confounding	confusio
confuse	confundo
confuse	conturbo
confuse	turbo
confused	confusus
confused	inconditus
confused, disorderly /embarassed, troubled	confusus
confusion	confusio
confusion	turbatio
confute	confuto
confute	redarguo
congeal	congelo
congratulate	grator
congratulate	gratulor
congress	congressus
congress	conventus
conj, and not	nec
conjecture	conicio
conjecture	opinio
connect	annecto
connect	contineo
connect	iugo
connect	iunctum
connect	iungo
connect	iunxi
connect join	concero
connect join, twine, join in conflict	concero
connected	aptus
connected	iunctus
connected together	continuus
connected together, continuous, uninterrupted	continuus
connection	iunctio
connection, joining	iunctio
conquer	convinco
conquer	debello
conquer	evinco
conquer	subigo
conquer	supero
conquer	vici
conquer	victum
conquer	vinco
conquer, overcome, master, win, surpass, excel	vinco vici victum
conscience	conscientia
conscience, consciouness, knowledge	conscientia
conscious of	conscius
conscious of, aware of	conscius
consciousness	animus
consciousness	conscientia
consecrate	consecro
consecrate	devoveo
consent	annuo
consent	consentio
consequence	eventum
consequence	eventus
consequence, issue, result, occurrence	eventus
consequential	consequentia
consequential, relating	consequentia
consequently	igitur
consequently	proinde
consequently, therefore, as a result	proinde
conserve	conservo
consider	cogito
consider	consulo
consider	delibero
consider	duco
consider	expendo
consider	habeo
consider	habitum
consider	habui
consider	inspicio
consider	intueor
consider	iudico
consider	meditatus
consider	meditor
consider	pendo
consider	pensito
consider	penso
consider	pondero
consider	puto
consider	recolo
consider carefully	consulto
consider carefully	contemplor
consider of less account	posthabeo
consider oneself indebted	accipio
consider secondary	postpono
considerably	aliquanto
consideration	meditatio
consideration	ratio
considered	duco
consign	dedo
consist	consisto
consistently	convenienter
consolation	consolatio
consolation	levamentum
consolation	refrigerium
consort	conjux
conspicuous	emineo
conspiracies	insidiae
conspiracy	coniuratio
conspiracy	consensio
conspiracy, plot	coniuratio
conspirator	coniuratus
conspirator, plotter	coniuratus
conspire	coniuro
conspire	conjuro
conspire	consentio
constancy	constantia
constancy	pondus
constant	constans
constant	firmus
constant	jugis
constant motion	instabilitas
constant motion, restlessness	instabilitas
constantly	jugiter
constellation	astrum
constellation	sidus
constellation, star	sidus
constrained	coactus
constrict	contraho
constricted	angustus
construct	constructum
construct	construo
construct	construxi
construct	duco
construct	fabrico
construct	instruo
construct	molior
construct	perstruo
construct	texo
constructor	compactor
consult	consulo
consult	consulto
consultation	consilium
consume	comburo
consume	comedi
consume	comedo
consume	comesum
consume	concremo
consume	edo edi essum
consume	peruro
consume	perussi
consume	perustum
consume	voro
consume by fire	cremo
consumption	phthisis
consumption, tuberculosus	phthisis
contact	contactus
contact	contages
contact	contagio
contact	contagium
contagion	contactus
contagion	contagio
contagion	contagium
contagion, infection /touching, contact	contagio  contagium
contain	contineo
contain	postulo
contained in	insum
containing a no	infitialis
containing nine eighths	sesquioctavus
contemplate	considero
contemplate	contemplari
contemplate	intueor
contemplate	intueri
contemplate	prospicio
contemplate	recolo
contemplation	contemplatio
contemplation	intuitus
contemplative	theoricus
contemporaneous	quod eodem tempore est
contemporary	aequalis
contempt	aspernatio
contempt	contemptio
contempt	contemptus
contempt	fastidium
contemptible	abiectus
contemptible	contemnendus
contemptible	contemptus
contemptible	reprobabilis
contemptible	turpis
contemptuous	despiciens
contemptuously	contemptim
contend	certare
contend	certo
contend	contendere
contend	contendo
contend	decernere
contend	decerto
contend	dimico
contends	certat
contends	decernit
content	contentus
content	impleo
contented	contentus
contented, satisfied	contentus
contentedly	aequo animo
contentedness	animus contentus
contention	certamen
contention	decertatio
contention	jurgium
contention	litis
contentious	litigiosus
contentious	pugnax
contentment	animus contentus
contents	quod in libro continetur
contents	tenor
conterminous	confinis
contest	certamen
contest	certatio
contest	conflictus
contest	contendere
contest	contentio
contest	decertatio
contest, contention, rivalry of any kind	certamen
context	argumentum
context	ratio verborum
contexts	argumenti
contiguity	propinquitas
contiguity	vicinitas
contiguous	confinis
contiguous	continens
continence	continentia
continence	temperantia
continent	castus
continent	continens
continual	jugis
continual, ceaseless, perennial, constant	jugis
continually	jugiter
continually, perpetually, constantly / instantly	jugiter
continue	pergo
continue	persevero
continue	procedo
continue	remaneo
continue eating	esito
continue steadfastly	persevero
continuous	continuus
continuous	iuge
continuous	iugis
continuous	perpetuus
continuously	adsidue
continuously	assidue
continuously	protinus
continuously, without remission	adsidue assidue
contract	contraho
contract	pactum
contracted	substrictus
contradiction	contradictio
contradiction, opposition	contradictio
contrary	contrarius
contrary, opposed	contrarius
contrast	contendo
contribute	adfero
contribute	affero
contributor	collator
contrition	contricio
contrive	fictum
contrive	fingo
contrive	finxi
contrive	incogito
contrive	maligno
contrive	molior
contrive evil	maligo
contriver	inventor
control	imperium
control	tempero
