a body	en kropp
decent, fair, kind	hygglig
decent, modest	ärbar
decently, suitable, appropriate, fit, seemly	passande
decentralize	decentralisera
deceptive, elusive, deceitful, deceitful, illusive	bedräglig
dechristianize	avkristna
decide	besluta
decide, adjudicate	avdöma
decided	avgjord
decided	beslutat
decidedly	bestämt
decider	omlöpning
decides	beslutar
deciduous	avfallande
decilitre	deciliter
decimal	decimal
decimal-count	decimalräkning
decimalize	decimalisera
decimals	decimaler
decimate	decimera
decimetre	decimeter
decipher	dechiffrera
decision, determination	beslut
deck, bedeck, decorate, embellish, adorn, garnish	pryda
deck-hand	däcksgast
declaim, speechify, rant	orera
declaims	orerar
declamation, elocution	talarkonst
declamatory	deklamatorisk
declaration	deklaration
declaration of war	krigsförklaring
declaration, elucidate, declare, expound, explain	förklara
declarations	deklarationer
declare, declare	deklarera
declared	deklarerat
declension	deklination
decline	avböja
decline	avtyna
decline	betacka sig
decoction	avkok
decodes, decoding	avkodar
decompose	upplösas
decomposition	nedbrytningsprocess
decompresses, extracts, unpacks	packar upp
decompressing	uppackningen av
decompression	dekomprimering
decompressor, unarchivers, uncompressor	uppackare
decontaminate	sanera
decontamination	sanering
decorate	dekorera
decorate, adorn, deck	smycka
decoration	utsmyckning
decoration, order	orden
decorative	dekorativ
decorum, respectability, propriety, decency	anständighet
decoulour, discolour	avfärga
decrease, abatement, subsidies	avtagande
decrement	stegvis minskning
decrepit, infirm, frail	skröplig
decriminalize	avkriminalisera
decry	racka ned på
decry, disparage	nedsätta
decrypt	dekryptera
decrypted	dekrypterad
decryption	dekryptering
decrypts	dekrypterar
dedicate	tillägna
dedicated	tillägnad
dedication	dedikering
dedications	tillägnande
deduce, derive	härleda
deduct	dra av
deductible	avdragsgill
deduction	avbränning
deduction	avdrag
deed of gift	gåvobrev
deem, judge, condemn, sentence	döma
deep-freeze	frysbox
deepen	djupna
deepest	djupaste
deeply	djupt
defeat, discomfiture	nederlag
defect	lyte
defective	defekt
defective, deficient	bristfällig
defects	felaktigheter
defence	värn
defenceless	värnlös
defend	förfäkta
defend	värna
defendant	svarande
defended	försvarade
defends	försvarar
defenseless	försvarslös
defensive	försvars
defent, sword	värja
defer, hesitate, be late, linger, tarry, loiter	dröja
deference, respect, esteem	aktning
deficit	underskott
defile	defilera
defile, pollute	orena
definable	definierbara
define	definiera
defined	definierade
defines	definierar
definitely	defenitivt
definition	definition
definitions	definitioner
deflect	avlänka
deflecting	att böja
deflection	böjning
defoliate	avlöva
deforestation	avskogning
deformed	vanskapt
defrag	defragmentera
defragmentation	defragmentering
defragmented	defragmenterad
defragmenting	defragmenterar
defray an expense	bestrida en utgift
defray, cover	täcka
defrost	avfrosta
defy, challenge	utmana
degenerate	degenerera
degenerate	urarta
degenerate	vansläktas
degenerated, deteriorating	urartat
degradable	nedbrytbar
degradation	nedbrytning
degrade	degradera
degraded, reduced	nedsatt
degrades, reduces, decreases, lessens	minskar
degree of priority	angelägenhetsgrad
degree, grade	grad
degrees	grader
dehumidification	avfuktning
deifed	avgudad
deification	förgudning
deified	gudsförklarad
deify, worship, idolize, adore	avguda
deifying	gudsförklarande
deign, vouchsafe	bevärdigas
deinstall, uninstall	avinstallera
deinstallation	avinstallation
deionization	avjonisering
deity, divinity	gudom
deject	nedstämma
dejectedly	dystert
dejectedly	nedslaget
dejection	förstämning
dejects	nedslår
delay	anstånd
delay	dröjsmål
delay	fördröja
delay, retard	försena
delay, sustain	uppehålla
delayed, be late, overdue	försenad
delegate	befullmäktigad
delegated	delegerad
delegation	delegation
delete	utradera
delete, take away	ta bort
deletion	radering
deletions	raderingar
deliberate upon	rådpläga om
deliberate, confer	överlägga
deliberate, hesitant	betänksam
delicacy	delikatess
delicacy, tact, time, measure, bar	takt
delicious, delicate	delikat
delight, gusto	välbehag
delighted	förtjust
delighted, jocund, pleased, jolly, happy, happy	glad
delightful	välbehaglig
delimited	avgränsad
delineate, sketch, outline	skissera
delinquent	brottslighet
delinquents	brottslig
delirium	feberyra
deliver	avlämna
deliver up	avleverera
deliver, consign, hand over	överlämna
deliverance	överlämnande
delivered	levererade
delivers	levererar
delivery	leverans
delivery, salvation, rescue	räddning
delouse, delousing	avlusa
deludes	narrar
deluge	syndaflod
delusion, mare's-nest	illusion
delves	gräver
demagnetize	avmagnetisera
demand	anmana
demand from	avfordra
demand from	avkräva
demand, on, request	anmaning
demanding, demands	kräver
demanding, exigent, exacting, taxing	krävande
demarcate, delimit	avgränsa
demarcation, delimiter	avgränsning
demigod	halvgud
demise	frånfälle
demobilize	avmobilisera
demobilize	demobilisera
democracy	demokrati
democrat	demokrat
democratic	demokratisk
demolish, raze	rasera
demolishes	river
demon, ghoul	ond ande
demons	demoner
demonstrate	demonstrera
demonstration	demonstration
demonstration, demonstrative	bevisande
demonstrative	demonstrativ
demoralize	demoralisera
demur	göra invändningar
demure, bashful, mousy, shy, coy	blyg
den, diggings, digs, den, lair	lya
dence smoke	tjock rök
denial, refusal, denia	avslag
denies	förnekar
Denmark	Danmark
denomination	benämning
denomination, sect, denomination	sekt
denominator	nämnare
denote, distinguish	utmärka
denounce	angiva
denounce, condemn	fördöma
denounced	skarpt kritiserade
denouncing	fördömer
density	densitet
dent	märke efter slag
dent, buckle	buckla
dentist	tandläkare
denude	avkläda
denunciation	angivelse
denunciation, damning	fördömande
deny oneself, resign	försaka
denying, denial, negation	förnekande
depart	avgå (om fartyg)
depart, departure	avresa
departed, lost	försvunnen
departure	avfärd
departure hall	avgångshall
departure, exit	utfart
departures, deviation	avvikelser
departyre	avgång
depend	bero
depend on	ankomma på
depend on	bero på
dependant	underhavande
dependence, reliance, reliably, depending, due	beroende
dependent	avhängig
dependent	underlydande
dependents	efterlevande
depict, describe, recount	skildra
depicted	avbildad
depicts	avbildningar
deplore, regret, complain	beklaga
deploying	utvecklande
deployment, formation	gruppering
depopulate	avfolka
depopulated region	avfolkningsbygd
deport	deportera
deportment, behaviour, performance, apperance	uppträdande
depose, dethrone, displace, remove	avsätta
deposit	avlagring
deposit	deponera
deposit	fyndighet
deposit	insättning
deposit in layers	avlagra
deposit, certainly, safeguard, safety, security	säkerhet
deposition	utfällning
depositor	insättare
depot	depå
deprecate	söka avvärja
depreciate	minska i värde
depreciation	avskrivning
depress, deject	nedslå
depressed	deprimerad
depression	lågtryck
depression, depression	depression
deprive, deprive of, denude, bereave	beröva
deprive, divest	avhända
depriving	berövade
depth, deep, depths, dept, deepness, profound	djup
depth-charge	sjunkbomb
deputation	deputation
deputy	deputerad
deputy	fullmäktig
deputy, substitute	vikarie
deputy, vice-	vice
derail	spåra ur
derby	derby
derby	plommonstop
deregulate	avreglera
deregulation	avreglering
derided	förlöjligade
derision, laughing stock, ridicule	åtlöje
derision, sneer, taunt, scorn, jeer, gibe, mockery	hån
derisive laughter, sneering laugh	hånskratt
derogatory, humiliating	nedsättande
derrick	lastkran
desalinate	avsalta
descend	stiga ned
descend from	härstamma från
descendant, offspring	avkomling
descendant, scion	ättling
descendants	ättlingar
descendants, posterity	efterkommande
descended	steg ned
descending	minskande
descent	härstammning
describe, describing	beskriva
description	beskrivning
description	signalement
description	skildring
descriptions	beskrivningar
descry	varsna
deselect, exclude	välja bort
deselected	bortvald
desert	desertera
desert, desert, wilderness	öken
deserter	desertör
deserter	överlöpare
desiccate	uttorka
desiccated milk	torrmjölk
design, construction	konstruktion
design, plan, intend, meditate, plan	planera
designate, fix, determine, appoint, destine	bestämma
designated	utsedda
designations	beteckningar
designed	skapad
desire, eagerness, lust	begär
desire, long for	åstunda
desired	önskad
desk	arbetsbord
desk	pulpet
desolation	ödslighet
desolation, solitude	enslighet
despair	förtvivla
despair	misströsta
despair, despondency	förtvivlan
despatch, posting, dispatch	avsända
desperately	desperat
despise, disdain, contempt	ringaktning
despise, scorn, disdain, disregard	förakta
despite, defiance, inspite, obstinacy, in spite of	trots
despondency	nedslagenhet
despot	despot
despotic	despotisk
despotism	enväldig
dessert	dessert
destination	bestämmelseort
destination	destination
destitute, denuded	utblottad
destroyed, demolished	förstörd
destroyer	jagare
destroys	förstör
destruction	undergång
destructive	förstörande
desultory, incoherent	osammanhängande
detach, segregate, sequester	avskilja
detachable	löstagbar
detached, divorced	frånskild
detachment	avskildhet
detachment	avskiljande
detailed	detaljerad
detailed	utförlig
details	detaljer
detain	kvarhålla
detected, found	funnen
detection	avkänning
detective, sleuth, plain-clothes	detektiv
detector	detektor
detectors	detektorer
detects, founding	hittar
detention	kvarsittning
detergent	rengöringsmedel
deteriorate	försämras
deteriorates	förfars
deteriorations	försämringar
determination	beslutsamhet
determine, determining, clinch, determine, decide	avgöra
determined, concise, fixed, definite, peremptory	bestämd
deterrent	avskräckande
detonate	detonera
detonating	detonerande
detour	avstickare
detoxify	avgifta
detract	dra ifrån
detriment, corruption, corrupt, impair, hurt, harm	skada
deuce	tvåa
deuteronomy	femte moseboken
devaluation	devalvering
devastate	skövla
devastate, ravage	härja
devastated	ödelagd
devastating	ödeläggande
develop	utbilda
developed	utvecklat
developer	utvecklare
developing	utveckling av
developments	utvecklingar
deviation in weight	utslag i vikt
device	device
devil	tusan
devil, fiend	djävul
devilry	djävulskap
devious	irrande
devious, winding, sinuous, wiggly, tortuous	slingrande
devolve, transfer	överlåta
devoted	hängiven
devoting	hängivna
devotion	andakt
devotion	hängivenhet
devotion, piety, sanctity	fromhet
devour	andäktig
devour, consume, eat	förtära
devour, pious	from
dew	dagg
deworm	avmaska
dexterity, skills, skill	skicklighet
dexterous, handy, deft	händig
diabetes	diabetes
diabetes	sockersjuka
diabolical	diabolisk
diagnose	ställa diagnosen
diagnosis	diagnos
diagnostic	diagnostisk
diagrams, charts, chart	diagram
dialect	dialekt
dialect	landsmål
dialects	dialekter
dialogbox	dialogruta
dialogs	dialogrutor
dialogue	dialog
diamond	diamant
diamonds	diamanter
diamonds	ruter
diaper, bib	haklapp
diaphragm, midriff	mellangärde
diaphragm, stop	bländare
diapositiv	diabild
diarrhoea	diarré
diasterstricken	katastrofdrabbade
diatonic	diatonisk
dibble	sättpinne
dibs	kosing
dibs	stålar
dice, cube	tärning
dicespeed	tärningshastighet
dictate	befallning
dictate	diktera
dictates	dikterar
dictation	diktamen
dictation	diktat
dictation	maktbud
dictator	diktator
dictatorship	diktatur
diction, means of expressing	uttryckssätt
diction, style, genre, hand writing	stil
dictionaries	ordböcker
dictionary, flexicon	lexikon
dictionary-part	lexikondelen
did	gjorde
die	dö
die away	avslockna
die, seal	tätning
die-head	gänghuvud
die-stock	gängkloppa
diesel	disel
diet	diet
differ	skiljer sig
different	annorlunda
different	skiljaktig
different, separate	skild
different, separate	särskild
differentiate	skilja sig
differently	annorledes
differs	avviker
difficulties, strait, straits	svårigheter
diffidence	brist på självtillit
diffidence, shyness	blyghet
diffuse	diffus
diffuse	omständlig
diffuse	svamlig
dig	grävde
dig	grävt
digest	smälta maten
digestible	lättsmält
digestion	matsmältning
digging, delving	grävande
digit, cipher, figure, numeral	siffra
digitala	digital
digitize	digitalisera
digits, numerals	siffror
dignified, ladylike, lordly, distinguished, noble	förnäm
dilapidated, ramshackle	fallfärdig
dilapidation	vanvård
dilapidation, excuse	förfall
diligence	arbetsamhet
diligence	flit
diligent, industrious, studious	flitig
dilirium, dizziness, giddiness	yrsel
dill	dill
dilly-dally, dither	vela
dilute	späda ut
diluted	utspädd
dilution	utspädning
dim	dimensionera
dim, obscure, nebulous, unclear, indistinct	oklar
dimast	avmasta
dimension	dimension
dimensions	dimensioner
diminish, descend, decrease, lessen, degrade	minska
diminishes	förminskar
diminution, reduction	minskning
diminutive, wee, infinitesimal	mycket liten
dimple	skrattgrop
din, clamour, hullabaloo, hubub, outcry, alarm	larm
dine	äta middag
dingy	grådaskig
dining-car	restaurangvagn
diningroom, dining-room, dining-room, canteen	matsal
dinner-guest, diner	middagsgäst
diocese	biskopsdöme
diocese	stift (kyrko-)
dioxide	dioxid
diphtheria	difteri
diphtong	diftong
diploma	diplom
diplomacy	diplomati
diplomat, diplomatist	diplomat
dipper	doppad
direct	hänvisa
directed	riktade
direction, stich in one`s side, distance	håll
directions	riktningar
directive, instruction	anvisning
directly, presently	strax
directly, straight	rakt
director's	direktörers
directorate	direktörsbefattning
directories, catalogs	kataloger
directors	direktörer
directory	adresskalender
directory	telefonkatalog
directory-space	katalog-utrymme
directvideo	direktvideo
dirge	sorgesång
dirt-track	jordbana
dirty	osnygg
disability	invaliditet
disability, incapacity, inability	oförmåga
disable, disconnect	stänga av
disabled	avstängd
disablement	arbetsoförmåga
disabuse	ta någon ur en villfarelse
disadvantageous	ofördelaktig
disadventage, drawback, disadvantage	nackdel
disagree	vara oense
disagree	vara osams
disagree with	vara oense med
disagreeable	oangenäm
disagreeable, unpleasant	otrevlig
disagreed, disunited	oeniga
disallows	godkänner inte
disappear, vanish	försvinna
disappearing, evanescence, evanescent	försvinnande
disappears	försvinner
disappoint	göra besviken
disappointment	missräkning
disappointment, discomfiture, bummer	besvikelse
disarm	avrusta
disarmament	avrustning
disasterous	katastrofal
disband	hemförlova
disbelief	stark misstro
disbursement, payment	utbetalning
disc-contents	diskettinnehåll
disc-space	disk-utrymme
discard	kasta bort
discern, distinguish	skönja
discern, notice, perceive, mark, perceive	märka
discharge	avfyra
discharge, fire off	avlossa
discharged	avdankad
disciple, scholar, pupil	lärjunge
discipline	disciplin
discipline	kunskapsgren
discipline	tukt
discipline, chastise, chasten	tukta
disclaimed	frånsägande
disclaimer	avsägande
disclaims	avsäger sig
disclosure	avslöjad
discolour	urbleka
discoloured, tarnished	anlupen
discomfit	modfälla
discomfort, nuisance	obehag
disconcerted, embarrassed	förlägen
disconnect, relax	koppla av
disconsolate	tröstlösa
discontented, disgruntled	missbelåten
discord	tvedräkt
discord, discord, dissension, disunity	oenighet
discordant	disharmonisk
discordant, incongruous	oförenlig
discount, rebate, border, flowerbed	rabatt
discounts	rabatter
discouraged, crestfallen	modfälld
discourse	föredrag
discourteous	oartig
discourteously	ohövligt
discover, detect	uppdraga
discover, find, detect	hitta
discovered, discovery, discoveries	upptäckt
discovers	upptäcker
discovery	rön
discredit, doubt	betvivla
discredit, shame, disgrace, dishonour	skam
discreet, delicate	finkänslig
discreet, discretely	diskret
discreet, tactful, considerate	grannlaga
discrepancy	oförenlighet
discretion	gottfinnande
discretion	urskiljning
discriminate	göra skillnad
discriminating	särskiljande
discrimination	urskillning
discriminatory	diskriminerande
discuss	avhandla
discuss a sudject	behandla ett ämne
discuss, discuss	diskutera
discussing	diskuterande
discussion, debate, debate	debatt
discussion, deliberation, parley	överläggning
discussion, discussion	diskussion
discussions	diskussioner
disdain	ringakta
disdain, despise	försmå
disdainful	försmädlig
disembark	debarkera
disembark, land	landsätta
disengage	löskoppla
disentangle	reda ut
disfavour, disapproval	ogillande
disfavour, disgrace	onåd
disfigure	vanpryda
disfigure, deform, deface	vanställa
disgorge	lämna ifrån sig
disgorge	utspy
disgrace	blamage
disgrace, dishonour, discredit, disrepute	vanheder
disgraceful, scandalous	skandalös
disguise	förkläda
disguise	förklädnad
disguised	utklädd
disgusted	äcklad
disgusting	äckligt
disgusts	äcklar
dish	maträtt
disharmony	disharmoni
disheartening	beklämmande
disheartening, disappointing	nedslående
dishes, dish, disc, washingup	disk
dishevelled	rufsig
dishonest	oärlig
disiclination	obenägenhet
disinfectant	desinfektionsmedel
disinherit	göra arvslös
disinherited	arvlös
disinterested	oegennyttig
disinterestedness, altruism	oegennytta
disk, floppy, disquette, diskette	diskett
disk-based	diskbaserad
disks	hårddiskar
diskspace	diskutrymme
dislike, antipathy	motvilja
dislike, disapprove, quash, disapprove of	ogilla
dislikes	ogillar
dislocate	rycka ur led
dislodge, dislocate, displace, derange	rubba
dislodges	rubbar
disloyal	illojal
dismal, disgusting, hidecous, disagreeable	ruskig
dismal, uncanny, eery, gloomy	kuslig
dismantle	avmontera
dismantle	skrota
dismantle	ta isär
dismay	förfäran
dismember	sönderdela
dismember	sönderslita
dismiss	entlediga
dismiss, disallow, repulse, send away, spurn	avvisa
dismissed	avskedade
dismount	sitta av
disobedience	olydnad
disobedient	olydig
disobey	inte lyda
disobey	vara olydig
disorder, confusion, muddle	oreda
disorder, flurry, fluster, confusion	förvirring
disown	ej erkänna
disown, deny, negate, disclaim	förneka
disparity, difference	skillnad
dispassionate, moderate, sober	sansad
dispatch	avfärda
dispatch	depesch
dispatch, send off, attend to	expediera
dispatch-case, dispatch-box	dokumentskrin
dispatch-case, dispatch-box	skrivetui
dispel, disperse	skingra
dispel, drive away	förjaga
dispensable	unbärlig
dispense, distribute	utdela
dispenser	apoteksbiträde
disperses, dissipates	skingras
displace, move, move house, remove	flytta
displaced	förskjutna
display, exhibition	utställning
display, expose, exhibit	utställa
displaying, exposing, showing	visande
displease	misshaga
displeased, disaffected, dissatisfy, malcontent	missnöjd
disposal	fritt förfogande
dispose of	avpollettera
dispose of lottery	lotta ut
dispose, disposal	disponera
disposed	beskaffad
disposed, inclined	hågad
disposition	läggning
disposition, disposal	förfogande
dispossess	driva bort
disprove, refute, confute	vederlägga
dispute, controversy, fight, combat, discord	strid
disputing	tvistar
dispyte	disputera
disqualify	diskvalificera
disquise	fökläda
disregard	strunta i
disregard, contempt, scorn, disdain	förakt
disregards	föraktar
disrepair	dåligt skick
disreputable	illa beryktad
disreputable	vanhedrande
disrespect	missaktning
disrespect	vanvördad
disrespectful, flippant, irreverent	vanvördig
disrespectfully	vanvördigt
disruption	sprängning
disruption	sönderslitning
dissatisfied, disappointed	besviken
dissect	dissikera
dissect	obducera
dissecting-room	anatomisal
dissemble	fördölja
dissemble, simulate, feign	hyckla
disseminated, widespread	utbredd
dissent	ha olika mening
dissent, diverge, digress, deviate	avvika
dissenter	frikyrklig
dissenter	oliktänkande
dissimilarities	olikheter
dissimilarity, disparity	olikhet
dissimulate	förställa sig
dissociation	avståndstagande
dissolve	lösas upp
dissonance, cacophony	missljud
distaff	slända på spinnrock
distance	avstånd
distance	distans
distanced	distanserad
distant	långt avlägsen
distaste	avsmak
distasteful, obnoxious, disgusting	vidrig
distemper	tempera
distemper	valpsjuka
distempered, unhinged	rubbad
distibute	distribuera
distict	distrikt
distil	destillera
distinction	utmärkelse
distinction	åtskillnad
distinction between	åtskillnad mellan
distinctions	åtskillnader
distinctive	utmärkande
distinctive	utpräglad
distinguish	särskilja
distinguish, discern	urskilja
distinguished	celeber
distinguished	distingera
distinguished, eminent, conspicuous	framstående
distort	förvränga
distort	vanställaförvrida
distorted, perverse	förvänd
distortion	förvrängning
distract	distrahera
distract	dra bort
distrain	utmäta
distraint	utmätning
distraught	utom sig
distressed, needy	nödlidande
distribute	utge
distributed	utgiven
distributers	distributörer
distributing	distribution
distribution, dividend	utdelning
distributor, distributer	distributör
distributors	distrubitörer
district	härad
district	stadsdel
distrust, doubt, doubts	tvivel
disturb	ofreda
disturbance	orolighet
disturbed, bothering	störde
disused	bortlagd
disused, discarded	avlagd
ditch, trench	dike
ditches	diken
ditto	dito
dive, submerge	dyka
dived	dök
diver	dykare
divers	åtskilliga
diverse, dissimilar, various, differently	olika
diversifying	görs om
diversion	avledande
diversion, relaxation	avkoppling
divert	förströ
divert, carry off	avleda
diverted	förstrött
dives	dyker
divide	avdela
divide	indela
divide	uppdela
divide into syllables	avstava
divide, change or ex-	skifta
divide, portion, share	dela
divided	delat
dividends	återbäring
divination, prophecy	spådom
divine	gudomlig
divine service	gudstjänst
divine, tell a person his fortune, augur, foretell	spå
divinity, theology	teologi
divisible	delbar
division	delat med
division	division
division, zoning, division	indelning
divorce	skiljas från
divorce	skilsmässa
divorce	äktskapsskillnad
divorced	skild från
divulge	utsprida
divus	gudlik
dizzy, giddy	yr i huvudet
do a sum	räkna ett tal
do I know it?	kan jag det?
do well	sköta sig väl
do without	umbära
do you think	månne
do, cause, act, make	göra
do, execute	uträtta
dock	skeppsdocka
dock (of the bay], doll	docka
docks	bassänger
docs, document, documents	dokument
doctor	doktor
doctor of medicine	medicine doktor
doctor, physician	läkare
doctored	fiffla
doctors	doktorer
doctors'	doktorers
doctrine	doktrin
document, record	urkund
documentation, documention	dokumentation
documentations	dokumenteringen
documented	dokumenterad
dodge	kila undan
dodge, jerk	knyck
doe-rabbit, doe	kaninhona
doff	ta av sig hatt
dog-days, dogdays	rötmånad
dog-rose	nyponbuske
doggerel	haltande vers
doggerel	knittel
dogs	hundar
doing	förehavande
dole	arbetslöshetsunderstöd
dollars	dollar
dolorous, painful	smärtsam
dolphin	delfin
dolt	träskalle
domain-name	domännamn
domesday	domens dag
domestic comfort	hemtrevnad
domestic flight	inrikes flyg
domestic, inland	inrikes
domestic, tame	tam
domesticated	tämjda
domicile	fast bostad
domicile	hemort
dominanse, lordship, domination, dominion, mastery	herravälde
dominate, domineer, predominate	dominera
dominated	behärskande
domineering	härsklystentyrannisk
dominican	dominikanska republiken
dominion	välde
dominion, possession	besittning
donate, endow	donera
donations	gåvor
donor, giver	givare
don`t mention it	inget att tala om
door	dörr
door, gate	port
doors	dörrar
doorway	dörröppning
dope	knark
dormant, sleeping, asleep	sovande
dormitory	sovsal
dormitory	sovstad
dormouse	hasselmus
dory	liten roddbåt
dos-format	dos format
dose	dos
dose	dosis
dot	pricka
dot-matrix	pinn-
dotage	ålderdomsslöhet
dote	vara barn på nytt
dots	punkter
dotted	prickad
double	dubbel
double-check	dubbelkolla
double-column	dubbelkolumn
double-cross, hoax, trick, gull, dupe, impose	lura
double-decker	tvåvåningsbuss
double-decker, biplane	biplan
double-quick	hastig marsch
double-quick	språngmarsch
doubleclick, double-click	dubbelklicka
doubles	fördubblar
doubt	tvivla
doubted	ifrågasatts
doubtful, in doubt, irresolute	tveksam
doubtful, precarious	betänklig
doubtless, undoubtedly	otvivelaktigt
dough	deg
doughty	manhaftig
doughty, able, clever	duktig
dove, pigeon	duva
dovetail	hopsinka
dovetailed	hoplänkad
dowager	änkenåd
dower	änkas del i boet
down	nadanför
down	ned
down	omkull
down, downstairs	nere
down-hearted	missmodig
down-hearted, pusillanimous	modlös
down-trodden	nertrampad
downfall, depression, descent	nedgång
download	ladda ner
downloaded	nerladdat
downpour	hällregn
downpour	störtregn
downpour, downfall	skyfall
downright	fullkomligt
downtrodden	förtrampad
downwardly, downwards, downward	nedåt
dowries	hemgifter
dowry	hemgift
doze	dåsa
doze, nap, snooze	tupplur
dozen	dussin
draft	koncept
draft	uttag
drafts	uttagningar
drag	dragga
drag	släpa
drag'n'drop	dra och släpp
dragon	drake
dragon-fly	slända
dragon-fly	trollslända
dragoon	dragon
drain	avdika
drain	dränera
drain off	avrinna
drain water	avleda vatten
drained	dränerat
drainpipe	avloppsledning
dram	nubbe
dram	sup
dram, bracer	styrketår
dram, snaps	snaps
drama	drama
dramatically	dramatiskt
dramatist	dramatiker
dramatizes	dramatiserade
drank	drack
drank	druckit
drape	drapera
drape, dress, clothe, clothe	kläda
draper	klädeshandlare
drapery	manufakturvaror
drastic	drastisk
drastically	drastiskt
draught	korsdrag
draught, sweep, streak, trait, move	drag
draughty	dragig
draw	rita
draw bills	trassera
draw lots	lotta
draw, pull	draga
draw-bridge, drawbridge	vindbrygga
drawee	trassat
drawer	byrålåda
drawing	ritning
drawing, sketch	teckning
drawing-board	ritbräde
drawing-master	teckningslärare
drawing-room	förmak
drawings	ritningar
drawl	släpigt uttal
drawn	utställda
draws	ritar
dreadful, tremendous, apalling, fearsome	förskräcklig
dreadnought, battleship	slagskepp
dream	dröm
dream about	svärma för
dreams	drömmar
dreamworld	drömvärld
dreary, gloomy	trist
dredge	muddra
dredger	bottenskrapa
dredger	mudderverk
dregs, sediment	bottensats
drench	grundlig blöta
drench, impregnate, imbue	genomdränka
drenched	dränkt
drenched	dränkte
drenching	dränkande
dress	göra toalett
dress	klä på sig
dress a person`s hair	frisera
dressed, clad	klädd
dressing	majonässås
dressing cubide	avklädningshytt
dressinggown, dressing-gown	morgonrock
dressmaker, seamstress	sömmerska
drew, drug, pulled	drog
dribble	dribbla
dribble, drop	droppa
dried	torkad
drift, wander, walk	vandra
drifted	vandrade
drifting	drift
drifts	vandrar
drill	drill
drill, bore	borra
drink a person's health	skåla med någon
drinks	drinkar
drip, drop, trickle	drypa
dripped	droppade
dripping	droppande
drips, droplets	droppar
drive	köra
drive	åktur
drive, bring	bringa
drive, ride	åka
drivel	dregel
drivel, mush	dravel
driver	drivrutin
drivers	drivrutiner
drivers, driver	förare
drives	enheter
drives, choir, chorus	kör
driving	drivande
driving licence	körkort
drizzle	duggregn
dromedary	dromedar
drone	drönare
drools	dreglar
droop	hänga ned
droop, slouch	sloka
drop the anchor	fälla ankaret
drop, lose, let fall	tappa
drop, roll, fall	trilla
drop, spill	spilla
droplet, drip	droppe
drops	släpper
drought	torkperiod
drove	körde
drown, swamp	dränka
drowned (get), drown	drunkna
drowsy	dåsig
drudge	arbetsträl
drudgery	slavgöra
drudgery, wear and tear	slit
drug-free	drogfri
drugs	droger
drugstore	kemikalieaffär
drum-membrane	trunhinna
drunkard	drinkare
drunken, drunk, groggy, inbriate, tipsy	drucken
drunkennesa	dryckenskap
drunkennesa	fylleri
dry, drought, wipe	torka
dual	tvåfaldig
dub	dubba film
dub	dubba till
ducal	hertiglig
duchess, duchness	hertiginna
duck	anka
duck	ducka
duck pond	ankdamm
duck shooting	andjakt
duck, wild duck, mallard	and
ducks	byxor av segelduk
duckweed	andmat
dud	blindgångare
dude	klädsnobb
dudgeon	tjurighet
dudgeon, pique	förtrytelse
due	vederbörlig
due, proper	tillbörlig
duel	duell
duet	duett
duffer, dud	odugling
duke	hertig
dully	trögt
duly	vederbörligen
dumb, mute, speechless	stum
dumb-bell	hantel
dumb-bell, moron, oaf, idiot	idiot
dumbfound	göra mållös
dummy	attrapp
dummy, decoy	bulvan
dummy, dummy	träkarl
dummy, phoney, insincere, bogus, false, pseudo	falsk
dump	dumpa
dumping	dumpning
dumpling	äppelmunk
dumps	dumpar
dun	gråbrun
dun, bear	björn
dun, debt-collector	indrivare
dunce	dumhuvud
dunce, goof, sap, fool, gaby, zany, ninny, nitwit	dumbom
dune	dyn
dungeon	fängelsehåla
dunning letter	kravbrev
dupe, delude, deceive	narra
duplicate	duplisera
duplicating, copy	kopiera
duplicity	dubbelhet
duplicity	dubbelspel
durable, valid, lasting, tenable	hållbar
duration	varaktighet
dusk, twilight	skymning
dusky, opaque, gloomy, recondite, dark, abstruse	dunkel
dustbag	dammpåse
dustbin, garbage can	soptunna
duster	dammtrasa
duster, whisk, feather-duster	dammvippa
dusty	dammig
Dutch	holländsk
dutchman	holländare
dutiable	tullpliktig
dutiful	plikttrogen
duty	åliggande
duty, task	bestyr
duty-free	tullfri
dwell, reside, nest, lair, live, dwel	bo
dwellinghouse	boningshus
dwindle, diminish	förminska
dye stuff	färga tyg
dying, dies	dör
dyke, weir	fördämning
dynamic	dynamisk
dynamically	dynamiskt
dynamite	dynamit
dynamited	sprängd
dynamo	dynamo
dynasty	dynasti
début	debut
e-texts	elektroniska texter
each	vardera
each, every	varje
each, every, pus, were, was, where	var
eager to learn	vetgirig
eagerly, anxiously	ivrigt
eagle	örn
eagle-owl	berguv
eagles	örnar
ear	ax
ear	öra
ear for music	gehör
ear-ache	örsprång
earl	engelsk greve
early in the morning	arla
earmark, reserve	reservera
earn, deserve, merit	förtjäna
earned	förtjänad
earning capacity	avkastningsförmåga
earnings	arbetsförtjänst
earns	förtjänar
ears	öron
earshot, ear-shot	hörhåll
earth, mould	mull
earth-worm	daggmask
earthenware	lergods
earthenware, ceramics	keramik
earthly, mundane, worldly, secular	världslig
earthquake, earth-quake	jordbävning
earthy, completed, ready, finished	färdig
earwig	tvestjärt
ease, lightness	lätthet
ease-of-use, simple-to-use	enkel att använda
easel	staffli
eases	lättar på
easiest-to-use	enklast att använda
