-a	egy
arbitration	döntôbíráskodás
arbitration	árkémlés
arbitrator	döntôbíró
arbor	fôtengely
arbor	lugas
arboreal	fás
arboreal	fán élô
arc	ív
arcade	árkád
arcade	tornác
arcane	misztikus
arch	boltív
arch	pajkos
arch fô-
archaeology	régészet
archaic	ódon
archaic	régies
archaic	elavult
archer	íjász
archery	íjászat
architect	építész
architectural	építészeti
architecture	építészet
archives	levéltár
archives	archívum
arctic	északi-sarki
arctic	sarkvidéki
ardent	lelkes
ardent	buzgó
ardor	lelkesedés
ardour	lelkesedés
arduous	meredek
arduous	fáradságos
are	lenni
are	ár
area	terület
area	felszín
area	terep
area	térség
area	légtér
arena	aréna
Argentina	Argentína
argue	vitat
argue	bizonyít
argue	vitatkozik
argue	érvel
argument	érv
argument	vita
arid	száraz
aridity	szárazság
arise	keletkezik
arise	támad
arise	ered
arise	emelkedik
arise	származik
aristocracy	fônemesség
aristocrat	fônemes
aristocratic	fônemesi
arithmetic	számtan
arithmetic	aritmetika
arithmetical	számtani
arizona	Arizona
arm	kar
arm	ujj (ruháé)
arm	elágazás
arm	fegyver
arm	felfegyverez
armada	hajóhad
armament	fegyverzet
armchair	karosszék
armchair	fotel
armed	felfegyverzett
armful	nyalábnyi
armistice	fegyverszünet
armor	páncél
armore	fegyverzet
armpit	hónalj
arms	fegyvernem
arms	fegyver
army	hadsereg
army	katonaság
army	sereg
army	tömeg
aroma	aroma
aromatic	zamatos
around	körül
around	közel
arouse	felébreszt
arrange	rendez
arrange	elintéz
arrange	intézkedik
arrange	átdolgoz
arrange	megegyezik
arrangement	elrendezés
arrangement	elintézés
arrangement	átirat
arrangements	elôkészületek
array	sor
array	rend
array	elrendezés
array	bemutatás
array	elrendez
arrears	hátralék
arrest	letartóztatás
arrest	letartóztat
arrest	lefoglal
arresting	figyelmet lekötô
arrival	érkezés
arrivals	érkezettek
arrivals	szállítmányok
arrive	érkezik
arrive	megjön
arrogance	gôg
arrogance	önteltség
arrogance	efnnhéjázás
arrogant	gôgös
arrogant	öntelt
arrogant	szemtelen
arrogant	fennhéjázó
arrogate	követel
arrow	nyíl
arse	segg
art	mûvészet
arterial	ütôéri
artery	ütôér
artery	fôútvonal
artful	ravasz
artichoke	articsóka
article	újságcikk
article	árucikk
article	cikk
articles	szerzôdést köt
articulate	érthetô
articulate	tagoltan beszél
artifact	mûalkotás
artifice	csel
artifice	ravaszság
artifice	lelemény
artillery	tüzérség
artisan	kézmûves
artisan	iparos
artist	mûvész
artist	festô
artiste	artista
artistic	mûvészi
artistry	mûvésziesség
artless	egyszerû
as	mint
as	ahogy
as	amint
as	mivel
ascend	emelkedik
ascendancy	fölény
ascendant	emelkedô
ascension	felemelkedés
ascent	megmászás
ascent	emelkedô
ascertain	kiderít
ascertain	megtud
ascertain	tisztáz
ascetic	aszkéta
ascii	ASCII
aseptic	fertôzésmentes
asexual	nemnélküli
ash	kôris
ash	hamu
ashamed	megszégyenítve
ashore	parton
ashtray	hamutartó
ashy	hamuszerû
Asia	Ázsia
aside	félre
aside	mellé
ask	kérdez
ask	kér
ask	keres
askance	ferde szemmel néz vkt
askew	ferdén
asleep	alva
asleep	álomban
asparagus	spárga
aspect	tekintet
aspect	szempont
asphalt	aszfalt
aspirant	pályázó
aspirant	kérô
aspirant	folyamodó
aspiration	törekvés
aspire	vágyakozik
aspire	törekszik
aspirin	aszpirin
ass	szamár
ass	segg
assassin	orgyilkos
assassination	orgyilkosság
assault	támadás
assault	roham
assault	erôszak
assault	tetlegesség
assemblage	gyülekezet
assemblage	összeszerelés
assemble	összegyüjt
assemble	összerak
assemble	összegyûlik
assembly	gyûlés
assembly	összejövetel
assembly	összeszerelés
assent	beleegyezés
assent	jóváhagyás
assert	állít
assert	kijelent
assertion	állítás
assertion	követelés
assertive	tolakodó
assessable	adóköteles
assessment	felbecsülés
assessment	kivetett adó
assessor	adófelügyelô
assessor	kárbecslô
asset	nyesreség
assets	vagyon
asshole	segglyuk
assign	kijelöl
assign	tulajdonít vmnek
assign	átenged
assignation	átruházás
assignation	kijelölés
assignee	engedményes
assignment	átruházás
assignment	kiutalás
assignment	kinevezés
assignment	felsorolás
assimilate	hasonlít
assimilate	elnyel
assimilate	hasonul
assimilate	asszimilálódik
assimilation	hasonulás
assist	támogat
assist	segít
assist	hozzájárul
assistance	segítség
assistance	támogatás
assistant	segély
assistant	segéd
associate	társ-
associate	kisegítô
associate	munkatárs
associate	társít
associate	társul
association	egyesülés
association	társulás
association	egyesület
association	egylet
association	szvetség
association	társítás
assort	kiválogat
assorted	válogatott
assorted	összeillô
assortment	választék
assortment	készlet
assume	elfogad
assume	feltételez
assume	vállal
assuming	öntelt
assumption	feltevés
assumption	tettetés
assumption	kötelezettség vállalás
assurance	igéret
assurance	biztosíték
assurance	önbizalom
assure	biztosít
assure	meggyôz
assuredly	kétségtelenül
assures	versichert
asterisk	csillag
asthma	asztma
astonish	megdöbbent
astonish	ámulatba ejt
astonishing	megdöbbentô
astonishing	bámulatos
astonishment	csodálkozás
astonishment	megdöbbenés
astound	meglep
astound	meghökkent
astral	csillag-
astray	félrevezet
astringent	összehúzó
astronaut	ûrhajós
astronomical	csillagászati
astronomy	csillagászat
astute	ravasz
astuteness	ravaszság
asylum	menhely
asylum	elmegyógyintézet
at	-on, -en, -ön
at	-ban, -ben
at	-nál, -nél
at	-kor
at	-ért
ate	evett
athlete	spotoló
athlete	atléta
athletic	atlétikai
athletics	atlétika
atlas	atlasz
atmosphere	légkör
atmospheric	légköri
atom	atom
atomic	atom
atomize	porrá tör
atomize	porlaszt
atomizer	permetezô
atone	vezekel
atone	jóvátesz
atonement	bûnhôdés
atrocious	szörnyû
atrocious	kegyetlen
atrophy	sorvadás
atrophy	elsorvad
attach	csatol
attach	odaköt
attach	fûz
attach	ragaszt
attach	kapcsolódik
attach	fûzôdik
attachment	egybefûzés
attachment	tartozék
attachment	kellék
attachment	ragaszkodás
attack	támad
attack	támadás
attack	roham
attacker	támadó
attain	elér
attain	megvalósít
attainment	szerzemény
attainments	tehetség
attar	rózsaolaj
attempt	kisérlet
attempt	merénylet
attend	látogat
attend	meghallgat
attend	megnéz
attend	gondoz
attend	kezel
attendance	gondozás
attendance	kiséret
attendance	jelenlét
attendance	hallgatóság
attendant	gondozó
attendant	kisérô
attendant	jelenlevô
attendant	látogató
attention	figyelem
attention	vigyázat
attention	gondozás
attentive	figyelmes
attenuate	vékonyít
attenuate	csillapít
attest	bizonyít
attestation	tanuskodás
attested	hitelesített
attic	padlásszoba
attire	ruházat
attire	öltöztet
attitude	tartás
attitude	póz
attitude	pózol
attitude	viselkedés
attitude	állásfoglalás
attorney	ügyvéd
attorney	meghatalmazott
attorney	ügyész
attract	vonz
attract	báj
attraction	vonzerô
attraction	vonzódás
attraction	báj
attraction	attrakció
attractive	vonzó
attributable	tulajdonítható vmnek
attribute	tulajdonság
attribute	jelzô
attribute	tulajdonít vmnek
attribution	tulajdonság
attribution	tekintély
attributive	jelzôi
attrition	elkopás
attune	hozzáhangol
auction	árverés
auction	aukció
auction	elárverez
auctioneer	árverésvezetô
audacious	vakmerô
audacious	merész
audacity	vakmerôség
audible	hallható
audience	kihallgatás
audience	meghallgatás
audience	közönség
audio	hang
audit	revízió
audit	ellenôriz
audit	elôadásokat látogat
audition	hallás
auditor	könyvvizsgáló
auditorium	elôadóterem	
auger	fúró
aught	valami
augment	növel
augmentation	nagyobbítás
augmentation	növelés
augur	jövendômondó
augur	jósol
augury	jövendölés
August	augusztus
august	magasztos
aunt	nagynéni
aunt	néni
auspices	pártfogás
austere	szigorú
Australia	Ausztrália
Australian	ausztrál
authentic	hiteles
authentication	hitelesítés
authenticity	hitelesség
author	szerzô
author	író
authoritarian	tekintélyi elv
authoritative	irányadó
authorities	hatóság
authority	hatalom
authority	tekintély
authority	meghatalmazás
authority	szakértô
authorization	meghatalmazás
authorization	felhatalmazás
authorize	engedélyez
authorize	felhatalmaz
authorize	feljogosít
authorized	illetékes
authorship	szerzôség
authorship	írói pálya
autobiographical	önéletrajzi
autobiography	önéletrajz
autocrat	zsarnok
autograph	aláírás
autograph	autogram
auto-ignition	öngyulladás
automat	automata
automate	automatizál
automatic	önmûködô
automatic	automatikus
automatic	gépies
automatic	önkéntelen
automatically	önmûködôen
automatically	gépiesen
automation	automatizálás
automation	automatika
automobile	autó
automobile	gépkocsi
autonomous	önkormányzati
autonomy	önrendelkezés
autopsy	hullaszemle
autumn	ôsz
autumnal	ôszi
auxiliary	segéd-
auxiliary	pót-
avail	haszon
avail	hasznosság
availability	elérhetôség
availability	hozzáférhetôség
availability	érvényesség
available	kapható
available	eelérhetô
available	beszerezhetô
available	felhasználható
avalanch	lavina
avarice	kapzsiság
avarice	fösvénység
avaricious	kapzsi
avaricious	fukar
avenge	megbosszul
avenger	bosszúálló
avenue	fasor
avenue	út
avenue	sugárút
aver	bizonyít
average	átlagos
average	közepes
average	átlag
average	hajókár
averse	idegenkedik
avert	elfordít
avert	elhárít
aviation	repülés
avid	mohó
avidity	mohóság
avoid	elkerül
avoidable	elkerülhetô
avoidance	elkerülés
avow	beismer
avowal	bevallás
avowedly	beimerten
await	várakozik
awake	ébren van
awake	éber
awake	felébreszt
awake	felébred
awakening	ébredés
award	ítélet
award	döntés
award	díj
award	jutalom
award	odaitél
aware	tudatában van vmnek
awareness	tudatosság
away	el
away	távol
awe	félelem
awe	tisztelet
awe	megfélemlít
awesome	félelmetes
awful	szörnyû
awfully	szörnyen
awhile	egy ideig
awkward	ügyetlen
awkward	félszeg
awkward	kínos
awkwardness	ügyetlenség
awning	ponyva(tetô)
ax	fejsze
axe	balta
axe	csökkent
axis	tengely
axle	tengely
b	b
babble	gagyogás
babble	gagyog
babble	csobogás
babble	csobog
babbler	gagyogó
babbles	schwaetzt
babe	baba
babe	csecsemô
baboon	pávián
baby	csecsemô
baby	kisaba
baby	gyermek-
baby	bébi-
babyhood	csecsemôkor
babyish	gyerekes
babysit	más kisgyermekére felügyel
babysitter	Babysitter
babysitting	gyermekôrzés
baccalaureate	legalacsonyabb egyetemi fokozat
bacchanal	tivornya
bachelor	legényember
bachelorhood	agglegénység
bacillus	bacilus
back	hátsó
back	hátra
back	vissza
back	hát
back	hátvéd
backache	hátfájás
backache	derékfájás
backbite	rágalmaz
backbiter	kibeszél
backboard	támla
backboard	kosárpalánk
backbone	gerinc
backdrop	háttérfüggöny
backer	támogató
backer	váltókezes
backer	csendestárs
backfire	visszagyújtás
background	háttér
background	képesítés
backhand	fonák
backhanded	váratlan ütés
backing	hátlap
backing	támogatás
backing	tét
backlash	holtjáték
backlash	visszahatás
backlog	hátralék
backlog	tartalék
backpack	hátizsák
backrest	háttámla
backseat	hátsó ülés
backside	visszaesik (hibába)
backspace	visszaváltó
backspace	visszavált
backstab	hátba döf
backstage	a színfalak mögött
backstairs	rejtett
backstreet	mellékutca
backstroke	hátúszás
backtalk	feleselés
backup	erôsítés
backup	biztonsági másolat
backward	visszafelé irányuló
backward	fejletlen
backward	nehézkés
backwards	hátra
backwater	holt ág
backwater	Htespedés
backwater	stagnálás
backwoods	ôserdô
bacon	szalonna
bacteria	baktérium
bacterium	baktérium
bad	rossz
bad	gonosz
bad	hibás
baddie	gonosztevô
badge	jelvény
badge	szimbólum
badger	borz
badger	zaklat
badger	piszkál
badly	rosszul
badly	nagyon
badminton	tollaslabda
badness	rosszaság
baffle	zavarba ejt
baffle	meghiúsít
baffle	összezavar
baffling	zavarbaejtô
baffling	érthetetlen
bag	zsák
bag	szatyor
bag	zacskó
bag	táska
bag	vadászzsákmány
bagatelle	csekélység
bagful	zsáknyi
baggage	poggyász
baggage	málha
bagge-check	poggyászjegy
bagger	kotrógép
bagging	zsákvászon
bagpipe	skótduda
bagpiper	skótdudás
bags	pantalló
baguette	francia fehérkenyér
bail	jótállás
bail	kezesség
bail	fogó
bail	merôedény
bailer	kezes
bailer	vízmerô edény
bailiff	törvényszolga
bailiff	végrehajtó
bailiff	tiszttartó
bait	csalétek
bait	zaklat
bait	csalogat
bait	etet (lovat)
baize	posztó
bake	süt
bake	éget
bake	sül
baked	sült
baker	pék
bakery	pékség
bakery	péküzlet
baking	sütô
baking	sülô
baking	sütés
balance	mérleg
balance	egyensúly
balance	egyenleg
balance	megmér
balance	mérlegel
balanced	kiegyensúlyozott
balanced	arányos
balancing	egyensúlyozó
balancing	kiegyenlítés
balcony	erkély
bald	kopasz
baldhead	kopasz ember
baldly	nyíltan
baldness	kopaszság
bale	bála
baleful	káros
baleful	baljóslatú
ball	labda
ball golyó
ball	táncest
ballad	ballada
ballast	holtsúly
balled	gömbölyû
ballet	balett
ballistic	ballisztikus
ballistics	ballisztika
balloon	léggömb
balloon	léghajó
balloon	ballon
balloonist	léghajós
ballot	szavazógolyó
ballot	titkos szavazás
ballot-paper	szavazólap
ballroom	bálterem
balm	balzsam
balm	méhfû
balmy	balzsamos
balmy	csillapító
baloney	halandzsa
balsam	balzsam
baluster	karfatartó
balusters	lépcsókorlát
balustrade	korlát
balustrade	mellvéd
bamboo	bambusz
ban	kiátkozás
ban	kitiltás
ban	tilalom
ban	kitilt
banal	elcsépelt
banal	banális
banality	közhely
banana	banán
band	szalag
band	pánt
band	csapat
band	zenekar
bandage	kötés
bandage	kötszer
bandage	bekötöz
bandanna	tarka selyemkendô
bandit	bandita
bandit	utonálló
bandmaster	karmester
bandstand	zenekari pavilon
bandwidth	sávszélesség
bandy	hokiütô
bane	csapás
bane	veszedelem
baneful	vészes
baneful	káros
bang	durranás
bang	dönget
bangle	karperec
banish	számûz
banish	elûz
banishment	számûzetés
banister	karfa
banister	korlát
banjo	bendzsó
bank	bank
bank	töltés
bank	zátony
bank	folyópart
bank	felhalmozódik
bankbill	bankjegy
banker	bankár
banking	bedôlés
banking	bankügylet
bankrupt	csôdbe jutott
bankruptcy	csôd
bankruptlcy	bukás
banner	lobogó
banner	transzparens
banns	házasulandók kihirdetése
banquet	bankett
banter	kötekedés
banter	ugratás
banter	kötekedik
banter	ugrat
baptism	keresztség
baptize	megkeresztel
bar	korlát
bar	keresztfa
bar	akadály
bar	italmérés
bar	söntés
bar	gátol
barbarian	barbár
barbaric	mûveletlen
barbarism	nyelvrontás
barbarism	barbarizmus
barbecue	grillsütô
barbecue	hússütés a szabadban
barbecue	roston sült
barber	borbély
barber	fodrász
barbershop	fodrászüzlet
bare	meztelen
bare	csupasz
bare	dísztelen
bare	puszta
bare	lemeztelenít
bare	kitakar
barefaced	arcátlan
barefoot	mezitláb
barely	alig
barely	szûkösen
bargain	alku
bargain	üzletkötés
bargain	alkalmi vétel
bargain	becserél
bargain	alkudozik
barge	uszály
bark	kéreg
bark lekérgez
bark bárka
bark	ugatás
bark	ugat
barkeeper	csapos
barley	árpa
barm	élesztô
barn	csûr
barn	pajta
barn	istálló
baron	báró
baroque	barokk
barracks	laktanya
barrage	duzzasztógát
barrage	aknazár
barrel	hordó
barrel	henger
barricade	torlasz
barricade	eltorlaszol
barrier	akadály
barrier	korlát
barrier	sorompó
barrister	angol ügyvéd
barrow	sírdomb
barrows	taliga
bartender	kocsmáros
barter	árucsere
barter	cserekereskedelem
barter	elcserél
base	alap
base	kiindulópont
base	lúg
base	szótô
base	közönséges
base	hamis
baseball	baseball
baseless	alaptalan
baseline	alapvonal
basement	alagsor
basement	alapozás
baseness	aljasság
baseness	hitványság
bash	erôs ütés
bashful	szégyenlôs
bashful	szemérmes
basic	alapvetô
basic	lúgos
basil	bazsalikom
basilisk	sárkánygyík
basin	medence
basin	mosdó
basis	bázis
basket	kosár
basketball	kosárlabda
bass	feketesügér
bass	basszus
basset	tacskó
bassinet	mózeskosár
bastard	fattyú
baste	összefércel
bat	denevér
bat	ütô
batch	tétel
batch	halom
bate	csökkent
bate	elvesz
bath	fürdô
bathe	fürdés
bathe	áztat
bather	fürdôzô
bathing	fürdés
bathrobe	füdôköpeny
bathroom	fürdôszoba
bathtub	füdôkád
batman	tisztiszolga
baton	karmesteri pálcca
baton	gumibot
batsman	ütôjátékos
batten	léc
batter	tészta
batter	ágyúz
battering-ram	faltörôkos
battery	üteg
battery	elem
battery	telep
battery	akku
battle	csata
battle	ütközet
battle	harcol
battleaxe	csatabárd
battlefield	csatatér
battleship	csatahajó
bawd	kerítônô
bawdy	erkölcstelen
bawl	ordít
bawl	rikolt
bawl	üvölt
bay	babér
bay	öböl
bay	bemélyedés
bay	pej
be	lenni
beach	tengerpart
beach	strand
beacon	jelzôtûz
beacon	jelzôfény
bead	gyöngyszem
beads	rózsafüzér
beading	gyöngydíszítés
beak	csôr
beak	rendôrbíró
beaker	serleg
beam	fénysugár
beam	gerenda
beaming	sugárzó
beaming	boldog
bean	bab
bear	medve
bear	hord
bear	szül
bear	eltûr
beard	szakál
beard	szembeszáll
bearded	szakállas
bearing	viselkedés
bearing	fontosság
bearing	súly
bearing	termôképesség
bearings	csapágy
beast	vadállat
beastly	állatias
beat	üt
beat	ütem
beat	dobbanás
beat	ver
beaten	legyôzött
beaten	megvert
beater	verô
beating	verés
beatitude	boldogság
beatitude	üdvösség
beautician	kozmetikus
beautiful	szép
beautiful	gyönyörû
beautifully	szépen
beautify	szépít
beauty	szépség
beaver	hód
beaver	sisakrostély
became	vált vmvé
because	mert
become	vmvé válik
become	illik vkhez
becoming	illô
bed	ágy
bed	ágyás
bed	meder
bed	lefektet
bedding	ágynemû
bedlam	tébolyda
bedlinen	ágynemû
bedridden	ágyhozkötött
bedroom	hálószoba
bedspread	ágytakaró
bedstead	ágykeret
bedtime	lefekvés ideje
bee	méh
beech	bükk
beef	marhahús
beef	hízómarha
beef	izomzat
beeftea	erôleves
beefy	húsos
beefy	izmos
beehive	méhkas
beehive	kaptár
been	volt
beer	sör
beeswax	méhviasz
beet	cukorrépa
beetle	bogár
beetle	sulyok
beetle	bozontos szemöldök
beetle	komor tekintet
beetroot	cékla
befall	történik
befall	elôfordul
befall	megtörténik
before	elôtt
before	korábban
before	elôre
before	mielôtt
befriend	pártol
befriend	támogat
befuddled	megzavarodott
beg	kér
beg	könyörög
beg	koldul
began	kezdôdött
beget	nemz
beggar	koldus
beggar	koldusbotra juttat
begin	kezd
begin	megkezdôdik
beginner	kezdô
beginning	kezdet
begrudge	irigyel
begrudge	sajnál
beguile	elámít
beguile	rászed
beguile	kellemesen eltölt (idôt)
behalf	érdekében
behave	viselkedik
behavior	viselkedés
behaviour	viselkedés
behead	lefejez
behind	hátul
behind	hátra
behind	mögött
behold	megpillant
behold	észrevesz
beholder	szemlélô
being	lét
being	lény
belabour	megver
belated	elkésett
belch	böfögés
belch	böfög
beleaguer	ostromol
belfry	harangtorony
belgium	Belgium
belie	meghazuttol
belief	hit
belief	hiedelem
belief	bizalom
believable	hihetô
believe	hisz
believe	gondol
believe	vél
believer	hívô
belittle	kicsinyel
belittle	ócsárol
bell	csengô
bell	harang
bell	szarvasbôgés
bellboy	liftesfiú
belle	szép nô
bellhop	londíner
bellow	ordítás
bellow	bôgés
bellow	ordít
bellow	bôg
belong	tartozik vhová
belongings	holmi
belongings	tulajdon
beloved	szeretett
beloved	szíve választottja
below	alul
below	lent
below	alatt
below	alá
belt	öv
belt	szíj
belt	övezet
belt	övez
bemoan	megsirat
bemoan	gyászol
bemuse	elkábít
bench	pad
bench	bíróság
bench	munkaasztal
benchmark	szintjel
bend	hajlás
bend	kanyar
bend	görbület
bend	feszít
bend	hajlít
bend	csomó (kötélen)
beneath	lenn
benefaction	jótett
benefaction	adomány
beneficial	jótékony
benefit	jótétemény
benefit	elôny
benefit	hasznot húz
benevolence	jóindulat
benevolent	jóindulatú
benevolent	jótékony
benign	üdvös
benignant	kegyes
bent	hajlott
bent	hajlam
benzine	benzin
bequeath	hagyományoz
bequeath	örökül hagy
bequest	hagyaték
berate	lehord
bereave	megfoszt
bereaved	elhunyt hozzátartozói
bereft	hagyományozott
berry	bogyó
berry	halikra
berth	horgonyzóhely
berth	fekhely
beseech	esdekel
beseech	könyörög
beside	mellett
beside	vm mellé
besmear	bemaszatol
besom	ágsöprû
bespatter	befröcsköl
bespatter	pocskondiáz
best	legjobb
bestial	állatias
bestiality	állatiasság
bestow	adományoz
bet	fogadás
bet	tét
betake	elindul vhová
bethink	fontolgat
betimes	jókor
betray	elárul
betray	cserbenhagy
betrayal	elárulás
betrothal	eljegyzés
better	jobb
better	jobban
better	elôsegít
better	fogadó (ember)
betterment	javulás
betterment	értéknövekedés
between	között
between	közé
betwixt	között
bevel	szög
bevel	szögmérô
beveled	ferde
beverage	ital
bevy	csapat
bewail	megsirat
bewail	gyászol
beware	óvakodik
bewitch	megbabonáz
bewitch	elbûvöl
bewitching	elbûvölô
beyond	túl
beyond	felett
beyond	vmn kívül
biannual	félévenkénti
bias	rézsutosság
bias	elfogultság
bias	befolyásol
bib	elôke
bib	iszogat
bible	Biblia
bibliography	könyvészet
bicker	veszekszik
bicker	csobog
bicycle	kerékpár
bicycle	bicikli
bicycle	kerékpározik
bicyclist	kerékpáros
bid	árajánlat
bid	licit
bid	kínál
bid	licitál
biennial	kétévenkénti
bier	ravatal
big	nagy
big	terjedelmes
bigger	nagyobb
biggest	legnagyobb
bight	hurok
bigot	vakbuzgó
bigtime	nagyszabású
bike	bringa
biker	bringás
bikini	bikini
bilateral	kétoldali
bilateral	kölcsönös
bile	epe
bilingual	kétnyelvû
bill	alabárd
bill	csôr
bill	számla
bill	váltó
bill	hirdetmény
billboard	hirdetôtábla
billfold	levéltárca
billiards	billiárd
billion	billió
billow	nagy hullám
billow	feltornyosul
bin	tartó
bin	láda
binary	binér
bind	köt
bind	bekötöz
bind	kötelez
binder	könyvkötô
binder	iratgyûjtô
binding	kötés
binoculars	kétcsövû látcsô
biograph	életrajz
biographical	életrajzi
biological	biológiai
biology	biológiai
bionics	bionikus
bipolar	kétpólusú
birch	nyírfa
birch	megvesszôz
bird	madár
birdseed	madáreleség
birth	születés
birth	származás
birth	szülés
birthday	születésnap
biscuit	keksz
biscuit	kétszersült
bisect	kettévág
bishop	püspök
bison	bölény
bit	zabla
bit	darab
bit	falat
bit	bit
bitch	szuka
bitch	szajha
bitch	elfuserál
bite	harapás
bite	marás
bite	csípés
bite	harap
bite	mar
bite	csíp
biting	gúnyos
bitter	keserû
bitter	zord
bitts	kikötôbak
bizarre	bizarr
blab	fecsegô
blab	fecsegés
black	fekete
black	sötét
black	néger
blackamoor	szerecsen
blackberry	szeder
blackbird	feketerigó
blackboard	tábla
blacken	befeketít
blacken	megfeketedik
blackhead	mitesszer
blackleg	sztrájktörô
blackleg	csaló
blackmail	zsarolás
blackmail	zsarol
blackout	elsötétítés
blackout	eszméletvesztés
blacksmith	patkolókovács
bladder	hólyag
bladder	hugyhólyag
blade	penge
blade	lapát
blame	szemrehányás
blame	felelôsség
blame	hibáztat
blame	okol
blameless	feddhetetlen
blameless	kifogástalan
blanch	fehérít
blanch	elfehéredik
bland	szelíd
bland	nyájas
blank	üres
blank	tiszta
blank	nyomtatvány
blank	hiányjel
blank	kitöltetlen
blanket	takaró
blanket	pokróc
blanket	általános
blanket	letakar
blare	harsogás
blare	trombitaszó
blare	harsog
blare	trombitál
blast	széllökés
blast	letarol
blasted	átkozott
blatant	zajos
blatant	otromba
blaze	láng
blaze	tündöklés
blaze	ragyog
blaze	lángol
blazer	sportkabát
bleach	fehérít
bleach	szôkít
bleaching	fehérítés
bleak	sivár
bleak	zord
blear-eyed	vaksi
bleat	bégetés
bleat	mekegés
bleat	béget
bleat	mekeg
bleat	nyafog
bleed	vérzik
bleed	vért vesz
bleed	megvág
bleeding	vérzô
bleeding	vérzés
blemish	hiba
blemish	szégyenfolt
blench	visszariad
blench	meghökken
blend	keverék
blend	vegyül
bless	áld
bless	magasztal
bless	megszentel
blessing	áldás
blew	blow
blind	vak
blindfold	bekötött szemû
blindfold	meggondolatlan
blindfold	félrevezet
blindness	vakság
blink	pislogás
blink	pislantás
blink	csillanás
blink	pislog
blink	hunyorít
blinking	pislogó
blister	hólyag
blister	Blasenfelhólyagzik
blizzard	hóvihar
bloated	duzzadt
bloater	füstölt sós hering
blob	paca
blob	csöpp
block	tuskó
block	tömb
block	dúc
block	elzár
block	eltorlaszol
block	zárol
blockade	ostromzár
blockade	körülvesz
blockhead	tökfejû
blockhouse	boronaház
blocking	eltorlaszolás
blood	vér
bloodcurdling	vérfagyasztó
bloodmoney	vérdíj
bloodshed	vérontás
bloodshot	véraláfutásos
bloodthirsty	vérszomjas
bloody	véres
bloom	virágzás
bloom	virágzik
blooming	virágzó
blossom	virág
blossom	kivirul
blot	folt
blot	elmaszatol
blot	kitöröl
blot	leitat (írást)
blotch	pörsenés
blotter	itatós
blouse	blúz
blouse	zubbony
blow	ütés
blow	csapás
blow	fújás
blow	fúj
blow kiolvad (biztosíték)
blown	kifulladt
blown	romlott
bludgeon	bunkósbot
bludgeon	erôsen ver
blue	kék
bluebell	harangvirág
blueprint	fénymásolat
blueprint	tervrajz
bluff	meredek
bluff	ámítás
blunder	bklövés
blunder	melléfog
blunt	tompa
blunt	buta
blunt	kicsorbít
blur	folt
blur	elhomályosít
blurb	fül(szöveg)
blush	elpirul
blush	szégyenkezik
bluster	lárma
bluster	hetvenkedik
bluster	zúg (szél)
boar	vadkan
board	deszka
board	tábla
board	ellátás
board	fedélzet
board	felszáll (-ra, -re)
board	tanács
board	bizottság
boarder	kosztos
boarding	padló
boarding	beszállás
boardroom	tanácsterem
boast	dicsekvés
boast	dicsekszik
boast	henceg
boat	csónak
boat	hajó
boat	csónakázik
boating	csónakázás
bobbin	orsó
bobbin	cséve
bobby	londoni rendôr
bode	jósol
bodice	pruszlik
boding	elôjel	
body	test
body	törzs
body	hulla
body	testület
body	fôrész
bodyguard	testôr
bog	mocsár
bogey	rémkép
bogus	hamis
boil	kelés
boil	forr
boil	felforral
boiled	fôtt
boiled	párolt
boiler	forraló
boiler	kazán
boiling	forrásban lévô
boisterous	féktelen
boisterous	szilaj
bold	merész
bold	arcátlan
bold	feltünô
boldface	félkövér betû
boldness	merészség
Bolivia	Bolívia
bolster	vánkos
bolt	egyenesen
bolt	retesz
bolt	csapszeg
bolt	nyílvesszô
bolt	futás
bolter	ijedôs
bolthead	csavarfej
bomb	bomba
bomb	bombáz
bombard	bombáz
bombardment	bombázás
bond	kötelék
bond	bilincs
bond	kötelezettség
bond	kötelezvény
bond	adóslevél
bondage	jobbágyság
bondman	jobbágy
bone	csont
bone	halszálka
bone	csontoz
boned	csontos
bonfire	örömtûz
bonfire	máglya
bonnet	fôkötô
bonnet	sapka
bonnet	motorháztetô
bonus	prémium
bony	csontos
booby	bamba
book	könyv
book	könyvel
book	lefoglal
bookbinder	könyvkötô
bookcase	könyvespolc
booked	lefoglalt
booking	elôjegyzés
booking	helyfoglalás
booking	jegyváltás
bookish	könyvkedvelô
bookish	elméleti
booklet	brosúra
bookmark	könyvjelzô
bookshop	könyvesbolt
boom	zúgás
boom	áremelkedés
boom	morajlik
boon	kellemes
boon	vidám
boon	adomány
boor	bugris
boorish	faragatlan
boost	erôsítés
boost	fokozás
boost	erôsít
boost	fokoz
boot	csizma
boot	csomagtartó
boot	elôny
bootblack	cipôpucoló
booted	csizmás
booth	bódé
booth	fülke
bootlace	cipôfûzô
bootless	hiábavaló
boots	londiner
bootstrap	cipôhúzó
booty	zsákmány
booze	pia
booze	piál
border	szegély
border	vm széle
border	határ
bordering	határos
bore	furat
bore	kaliber
bore	fúr
bore	untat
bore	unatkozik
bore	szökôár
boredom	unalom
boredom	unatkozás
borer	fúró
boring	fúrás
boring	unalmas
born	születésû
born	született
borne	szállított
borough	város
borough	választókerület
borrow	kölcsönvesz
borrow	kölcsönkér
borrow	kölcsönöz
borrower	kölcsönzô
borrowing	kölcsön
bosom	kebel
bosom	mell
boss	fônök
