a	et
discern, distinguish	skjelne
discerning, canny, ingenious	skarpsindig
discerning, judicious	forstandig
discharge	avmønstring
discharge	løslatelse
discharge	utskrivning
disciple	disippel
discipline	disiplin
discipline	disiplinere
disclaim	dementere
disclaim	fraskrive seg
disclose	avsløre
disclose	røpe
disclosure, exposure	avsløring
discomfort	ubehag
disconcerted	forvirret
disconnect, detach	kople fra
disconsolate, inconsolable	utrøstelig
discontented, dissatisfied	misfornøyd
discontinue	holde opp med
discord	disharmoni
discord	dissonans
discord, disagreement, dissension	uenighet
discourage	ta motet ifra
discourteous, impolite	uhøflig
discoverer	oppdager
discovery	oppdagelse
discredit	vanry
discreet	diskrèt
discreet	taktfull
discrepancy, disagreement, incongruity	uoverensstemmelse
discretion	diskresjon
discriminate	diskriminere
discrimination	diskriminering
discuss	diskutere
discuss, argue	drøfte
discussion	diskusjon
discussion	drøfting
discussion	forhandling
disease, illness	sykdom
diseased	sykelig
disembark	gå i land
disembark	utskipe
disentangle	greie ut
disentangle	vikle ut
disfigure	vansire
disgrace	unåde
disguise	maskere
disguise, apron	forkle
dish cloth	oppvask-klut
dishonesty	uærlighet
dishonour	skam
dishonour, disgrace	vanære
dishwasher	oppvaskmaskin
disillusion	desillusjonere
disinclined, indisposed	utilbøyelig
disinfect, fumigate	desinfisere
disinfectant	desinfeksjonsmiddel
disinfection	desinfeksjon
disinherit	gjøre arveløs
disintegrate	nedbryte
disintegrate, dissolve	oppløse
dislike	ikke like
dislike	motvilje
dislocate	bringe av ledd
dislocate	forrykke
dislocation	forvridning
disloyal	illojal
dismay, horror	forferdelse
dismiss	avskjedige
dismiss	sende bort
dismissed	avskjediget
dismount	stige av
dismount, disassemble, dismantle	demontere
disobedience	ulydighet
disobey	være ulydig
disorder	uorden
disorderly	uordentlig
disown	fornekte
disown	ikke kjennes ved
disparity, inequality	ulikhet
dispatch	avsendelse
dispatch	ekspedere
dispatch	rapport
dispatch-note	følgebrev
dispel	jage bort
dispensable	unnværlig
dispensation, distribute	dele ut
dispensation, distribution	utdeling
displace	flytte på
displacement	forskyvning
display	oppvisning
display, exposition, exhibition	utstilling
disposable	engangs-
disproportion	misforhold
disputable	diskutabel
disputed	omstridt
disquieting	foruroligende
disregard	ignorering
disreputable, infamous	beryktet
disrespect	mangel på aktelse
disrespectful, irreverent	uærbødig
dissatisfaction, discontent	misnøye
dissimilar	ulik
dissipate	ødsle
dissipation	ødsling
dissolvable	oppløselig
distance	distanse
distance, offset	avstand
distaste	avsmak
distil	destillere
distillation	destillasjon
distinct	adskilt
distinction	utmerkelse
distinctive	særegen
distinguish	utmerke
distinguished	anerkjent
distinguished	fornem
distort	fordreie
distort	fortegne
distort	forvrenge
distortion	forvrengning
distract	distrahere
distracted	forstyrret
distraction	distraksjon
distraction	forvirring
distraint	utpantning
distress	bekymre
distress	bekymring
distribute	fordele
distribution	fordeling
distributor	fordeler
distributor	forhandler
distrust	mistillit
ditch	grøft
diuretic	vanndrivende
dive	dykk
dive	dykke
dive	stup
dive	stupe
diver	dykker
diverse	diverse
diversion	adspredelse
diversion	avledning
diversion	omkjøring
divert	adspre
divert	omdirigere
divert, derive, distract	avlede
divide	dele
divide	dividere
divide	skille
divinity	guddommelighet
divinity	teologi
division	deling
division	divisjon
divorce	skildmisse
divorce	skilles
dizziness	svimmelhet
do, execute	utføre
dock	anklagebenk
dock	dokk
docker	havnearbeider
dockland	dokkområde
doctor	doktor
doctor, physician	lege
document	dokumentere
documentary	dokumentar
dodge	smette unna
dog	hund
dogged	seig
dole	arbeidsledighetstrygd
dolphin	delfin
dome	kuppel
domestic, inland	innenriks
domicile	bopel
dominate	dominere
domination, dominion	herredømme
donation	donasjon
done	gjort
done	utført
donkey, ass	esel
donor	donor
donor	giver
doom	undergang
doomsday	dommedag
door	dør
doorhandle	dørklinke
doorknob	dørhåndtak
doorway	døråpning
dope	narkotikum
dope, drug	dop
dove, pigeon	due
dowager	enke
downloading	nedlasting
downstairs	nedenunder
downwards	nedover
dowry	medgift
doze	døse
doze	slumre
dozen	dusin
drab, dull, dreary	trist
drab, humdrum	ensformig
draft	utkast
draft	veksel
drag	trekke
dragnet	slepenot
dragon	drake
dragonfly	øyenstikker
drain	avløp
drain	drenere
dramatic	dramatisk
drape	drapere
draught, gulp	slurk
drawer	skuff
drawing, design	tegning
drawl	snakke med slepende tonefall
dread	frykt
dread, fright	skrekk
dream	drøm
dream	drømme
dreamy	drømmende
dredge	muddermaskin
dredge	mudre
dregs	berme
dregs	bunnfall
drenched	gjennomvåt
dress	antrekk
dress	kle seg
dressing gown	slåbrok
dressingcase	toalettmappe
dressmaker	sydame
drift	drive
drill	bor
drill	drill
drill	eksersis
drip	drypp
drip	dryppe
drip	dråpe
dripfeed	intravenøs næring
driver	fører
driver, conductor, chauffeur	sjåfør
drivers-licence	førerkort
drizzle	duskregn
droll, funny	pussig
drool	sikkel
drool	sikle
droop	henge ned
drown	drunke
drowsy	døsig
drowsy	søvnig
drug	bedøve
drug	legemiddel
drug-pusher	stofflanger
druggist, chemist	apoteker
drum	tromme
drunk, full	full
drunkard	drukkenbolt
dry	tørr
dry, drought	tørke
dual	dobbel
dubious, questionable	tvilsom
duchess	hertuginne
duchy	hertugdømme
duck	and
duck, dip, doll	dukke
due	forfallen
due to	på grunn av
due, guilty	skyldig
duel	duell
duel	duellere
duke	hertug
dull, blunt, languid	sløv
dull, dim, faint	matt
dull, drag, boring, dreary, humdrum, tiresome	kjedelig
dumb, speechless, mute	stum
dumbfounded	forbløffet
dumbfounded	målløs
dump	dumpe
dump	søppelhaug
dumping	avlessing
dumping	dumping
dumpling	melbolle
dune	sandbanke
dung	naturgjødsel
dupe	lettlurt
dupe, con, humbug	lure
duplicate	dobbelt
durability	holdbarhet
durable	holdbar
durable, lasting	varig
duration	varighet
during	i løpet av
dusk, twilight	skumring
dust	støv
duster	støvkost
Dutch	Nederlandsk
dutiable	tollpliktig
dutiful	lydig
dutiful	pliktoppfyllende
duty	plikt
duty, customs	toll
dutyfree	tollfri
dwell	dvele
dwell, estate, live	bo
dwindle	svinne
dye	fargestoff
dying	døende
dynamic	dynamisk
dynamics	dynamikk
dynamite	dynamitt
each	hver enkelt
each, all, everyone, everybody	alle
eachother	hverandre
eagerness, zeal	iver
eagle	ørn
ear	øre
earache	øreverk
eardrum	trommehinne
earflap	ørebeskytter
earl	jarl
earlobe, earlobe	øreflipp
early	tidlig
earn, deserve	fortjene
earn, fetch	innbringe
earn, gain, win	vinne
earnings	inntekter
earphones, headphones	høretelefoner
earplug	ørepropp
earring	øredobb
earth	jord
earthquake, earthquake	jordskjelv
earthworm	meitemark
ease	slakke
ease, facility	letthet
ease, gusto	velbehag
ease, lighten, facilitate, lift	lette
easel	staffeli
east	øst
Easter	Påske
eastern	østlig
easy	behagelig
easy, light	lett
easychair, arm-chair	lenestol
easygoing	omgjengelig
eat	fortære
eatables	matvarer
eaves	takskjegg
eavesdrop	smuglytte
ebb	ebbe
ebb	fjære
ebb, lessen, decrease	minke
ebony	ibenholt
EC	EU
ecclesiastic(al)	geistlig
ecclesiastic(al)	kirkelig
echo	ekko
eclipse	eklipse
eclipse	formørkelse
ecological	økologisk
ecology	økologi
economic, financial	økonomisk
economics, economy	økonomi
ecstasy	ekstase
ectopic	ektopisk
eddy	evje
eddy	virvel
edge, brim	kant
edge, egg	egg
edgeways	sidelengs
edible, eatable	spiselig
edifice	byggverk
edifying	oppbyggelig
edit	redigere
edition	utgave
edition, impression	opplag
editor	redaktør
editor	utgiver
editorial	lederartikkel
educate	utdanne
education	utdannelse
eel	ål
eelpot	åleteine
effect	effekt
effect	virkning
effective	virksom
effective, efficient	effektiv
effects	effekter
effects	eiendeler
effeminate, feminine	feminin
efficiency	effektivitet
effort	anstrengelse
effusion	utgytelse
effusive, exuberant	overstrømmende
egoism	egoisme
egoist	egoist
egoistic	egoistisk
egotism	selvopptatthet
eider	ærfugl
eight	åtte
eighteen	atten
eighth	åttende
eighty	åtti
either	hvilken som helst
eject	støte ut
eject, expel, dispossess	fordrive
ejector seat	katapultsete
elaborate	utarbeide
elaboration	utarbeidelse
elaboration	utdypning
elastic	elastisk
elastic	tøyelig
elasticity	elastisitet
elbow	albue
elder	eldre
elder, eldest	eldst
elderberry	hyllebær
elderly	aldrende
election	valg
elector, constituent	velger
electric fan, ventilator	ventilator
electric(al)	elektrisk
electrician	elektriker
electricity	elektrisitet
electrocute	henrette med elektrisitet
elegant	smakfull
element	element
element	grunnstoff
elementary	elementær
elementary school	grunnskole
elephant	elefant
elevate	heve
elevation	høyning
elevation, altitude, height	høyde
eleven	elleve
eleventh	ellevte
elicit	lokke fram
eligibility	valgbarhet
eligible	valgbar
elk	elg
elm	alm
else	annen
else	ellers
elsewhere	annensteds
elucidate	klargjøre
elude	unnvike
emaciated	utmagret
emanate	utgå
emancipate, liberate, extricate, disengage, free	frigjøre
emasculate, geld	kastrere
embalm	balsamere
embankment	voll
embark	gå ombord
embark	innlate seg
embarkation	innskipning
embarrass	gjøre flau
embarrassment	forlegenhet
embassy	ambassade
embezzle	underslå
embezzlement	underslag
embitter	forbitre
embitter	gjøre bitter
embodiment	legemliggjørelse
embody, incarnate	legemliggjøre
embroider	brodere
embroidery	broderi
emerald	smaragd
emerge	dukke opp
emergency	nødstilfelle
emetic	brekkmiddel
emigrant	utvandrer
emigrate	utvandre
emigration	utvandring
eminent	fremragende
eminent	høytstående
emission	utstråling
emit	sende ut
emotion	sinnsbevegelse
emotional	følelsesmessig
emperor	keiser
emphasis	ettertrykk
emphasize	understreke
emphatic	ettertrykkelig
empire	verdensrike
employee	arbeidstaker
employment, job, work	arbeid
empress	keiserinne
empty, inane, void	tom
enable	sette i stand til
enamel	emalje
enamel	emaljere
enamel, icing, glaze	glasur
encephalitis	hjernebetennelse
enchant, fascinate	fortrylle
enclose	inneslutte
enclose	innhenge
enclose	vedlegge
enclosure	innhengning
enclosure	vedlegg
encounter	sammenstøt
encourage	støtte
encouragement, incentive	oppmuntring
encroach, anticipate	foregripe
encroachment, fracture	brudd
encroachment, harassment	overgrep
encumber	hefte
encumbrance	heftelse
encyclopedia	konversasjonsleksikon
endangered	truet
endearment	kjærtegn
endeavour	bestrebelse
ending	avslutning
ending	endelse
ending, end, finish	slutt
endorse	påtegne
endorsement	påtegning
endow	gi gave til
endurance	utholdenhet
endure	holde ut
endure	tåle
enema	klystèr
enemy	fiende
energetic	energisk
energy	energi
enforce	fremtvinge
enforce	håndheve
enforcement	håndhevelse
enforcement	inndrivelse
engage	engasjere
engage, hire, employ	ansette
engaged	forlovet
engagement	forlovelse
engender	avle
engineer	ingeniør
engineer	tekniker
engineering	ingeniørarbeid
England	England
engrave	gravere
engrossed	oppslukt
enhancement, improvement	forbedring
enhancement, increase, gain, increment	økning
enigma	gåte
enigmatic	gåtefull
enjoy	glede seg ved
enjoy	nyte
enjoyable	hyggelig
enjoyment, gusto	nytelse
enlarge	forstørre
enlargement	forstørrelse
enlist	verve
enlist, infer, join	slutte seg til
enormous	enorm
enrage, infuriate, incense	gjøre rasende
enrapture	henrykke
enrich	berike
enrol	melde på
enrol, inscribe	skrive inn
ensign	fenrik
ensign, badge, imprint, detect	merke
ensign, banner, flag	flagg
enslave	gjøre til slave
ensue, follow, consequence	følge
ensure	sikre
ensure, guarantee	garantere
entail, involve	medføre
entangle	vikle inn i
entanglement	sammenfiltring
enter	bokføre
enter	gå inn
enter	komme inn
enteritis	tarmbetennelse
enterotomy	tarmbrokk
enterprise	foretagende
enterprise	foretaksomhet
enterprising	foretaksom
entertain	more
entertain	underholde
entertain, feast	beverte
entertainment	forlystelse
entertainment	representasjon
entertainment	underholdning
enthusiasm	entusiasme
enthusiasm, exuberance	begeistring
enthusiast	entusiast
enthusiastic	begeistret
enthusiastic	entusiastisk
entice	forlede
entice, lure	lokke
entire, full	hel
entitle	berettige
entrance, portal	inngang
entree	hovedrett
entrust, confide	betro
entry	inntreden
enumerate	oppsummere
envelop	innhylle
envelope	konvolutt
enviable	misunnelsesverdig
envious	misunnelig
environment	omgivelse
environment	omgivelser
environmental, environment	miljø
environmentalist	miljøforkjemper
envisage, imagine	forestille seg
envoy, delegate	utsending
envy	misunnelse
Eoropean	Europeer
Eoropean	Europeisk
epidemic	epidemi
epidemic	epidemisk
epidemic	farsott
episcopalian	biskoppelig
episcopalian	episkopal
episcopate	bispeembete
epitaph	gravskrift
equal	jevnbyrdig
equal	jevnbyrdige
equal	like
equalize	utjevne
equanimity	sinnslikevekt
equation	ligning
equation, equality	likestilling
equator	ekvator
equestrian	rytter
equilibrium	likevekt
equinox	jevndøgn
equip	utruste
equipment	utrustning
equipment, gear, fittings, kit	utstyr
equivalence	likeverd
equivalent	tilsvarende
equivocal	tvetydig
era	tidsalder
era	æra
eradicate, exterminate, extinguish	utrydde
erase, delete	stryke ut
eraser	raderkniv
eraser	viskelær
erect	oppføre
erect	oppreist
erection	ereksjon
erection	oppførelse
ermine	hermelin
ermine	røyskatt
erode	erodere
erode	tære bort
err, lapse	feile
errand	ærend
errandboy	visergutt
erratic	uberegnelig
erratic	ujevn
erroneous	feilaktig
erudition, learning	lærdom
erupt	bryte fram
erupt	være i utbrudd
escalate	trappe opp
escalation	opptrapping
escalator	rulletrapp
escalope	schnitzel
escapade	sidesprang
escape	rømning
escape	unnslippe
escort	eskorte
escort, accompany, attend	ledsage
especial, particular, special	spesiell
especially	spesielt
especially, especial	særlig
espionage	spionasje
essay	essay
essay	stil
essential	vesentlig
essential, imperative	absolutt nødvendig
establish	etablere
establish, found, institute	opprette
established	etablert
established church	statskirke
establishment	etablering
establishment	etablissement
estate	gods
estate, possession, property	eiendom
estate-agent	eiendomsmegler
esteem, estimation	aktelse
estimate	beregne
estimate	overslag
estimate	taksere
estimation, evaluation, appraisal, estimate	vurdering
estrange	fremmedgjøre
estuary	elvemunning
etch	etse
etching	etsning
etching	radering
eternal	evig
eternalize	forevige
eternity	evighet
ethics	etikk
ethnic	etnisk
eulogy	lovtale
Europe	Europa
evacuate	evakuere
evacuate	tømme
evacuate, abscond	rømme
evacuation	evakuering
evade	lure seg unna
evade, avoid, escape	unngå
evaluate, appreciate	verdsette
evaluation	verdsettelse
evaporate	fordampe
evaporation	fordampning
evasive, elusive	unnvikende
eve	aften
even	selv om
even	til og med
even, level	jevn
even, like, equal, corpse	lik
evening	kveld
evening meal, supper	kveldsmat
event	begivenhet
event	øvelse
eventful	begivenhetsrik
eventual, finally, final, at last, definitive	endelig
eventuality	eventualitet
ever	noensinne
ever	stadig
everlasting	evigvarende
evermore	for alltid
every	enhver
everyday	hverdagslig
everything, all, the lot	alt
everywhere	overalt
evict	kaste ut
eviction	utkastelse
evidence	bevis
evidence	vitneutsagn
evident	innlysende
evident, explicit, distinct, apparent	tydelig
evidently	tydeligvis
evidently	øyensynlig
evil	ond
evil	onde
evocative	stemningsfull
evoke, reveal, develop	fremkalle
ex, from	fra
exacting	krevende
exactly, exact	nøyaktig
exaggerate	overdrive
exaggeration	overdrivelse
exalt	lovprise
exalt	opphøye
exaltation	opphøyelse
exaltation	opprømthet
exam	opptaksprøve
exam-fee	inngangspenger
examination	eksaminasjon
examination, inquiry, enquiry	undersøkelse
examine	eksaminere
excavate	grave ut
excavation	utgravning
exceed	overskride
excel	utmerke seg
excel, exceed	overgå
excellence	fortreffelighet
excellent	fortreffelig
excellent, fine	utmerket
except	unnta
except	untatt
except	uten
exception	innsigelse
exception	unntagelse
exceptional, extraordinary	usedvanlig
excess	overmål
excess	overskridelse
exchange	valutaveksling
exchange, interchange	utveksling
exchange, loot	bytte
exchangerate	vekslingskurs
excise	fjerne
exciseduty	forbrukeravgift
excitable	pirrelig
excite	opphisse
excitement	opphisselse
excitement	spenning
exclaim	utbryte
exclamation	utrop
exclude	utelukke
exclusion	utelukkelse
exclusive	eksklusiv
excrete	skille ut
excrete	utsondre
excruciating, insufferable	ulidelig
excursion, sightseeing trip, outing, excursion	utflukt
excusable	unnskyldelig
excuse	unnskyldning
excuse me	unnskyld
excuse, exempt	frita
excuse, extenuate	unnskylde
excusively	utelukkende
execute	effektuere
execute	fullbyrde
execute	henrette
execution	effektuering
execution	henrettelse
execution	utførelse
executioner, hangman	bøddel
executive	utførende
executive	utøvende
executive, leader, head, director	leder
exemplary	mønstergyldig
exemplify	belyse ved eksempler
exemption	fritagelse
exercise	mosjon
exercise	mosjonere
exercise	utøvelse
exert	anstrenge
exert	bruke
exert	øve
exhaust	eksos
exhaust	utmatte
exhaustion	rovdrift
exhaustion	utmattelse
exhaustive	grundig
exhaustive	uttømmende
exhaustpipe	eksosrør
exhibit	utstille
exhibit	utstillingsgjenstand
exhibition	fremvisning
exhibition, grant	stipend
exhilarate	live opp
exhilarated	opprømt
exigency	tvingende nødvendighet
exigent	presserende
exile	landflyktighet
exile, expatriate	eksil
exist	eksistere
existence	tilværelse
existence, being	eksistens
existing	eksisterende
existing	foreliggende
exorbitant	ublu
exorbitant, incongruous	urimelig
expand	utbre
expand, extend	utvide
expansive	ekspansiv
expansive	meddelsom
expansive	utvidbar
expatriate	landsforvise
expatriation, exile	landsforvisning
expect	forvente
expect, assume, figure	anta
expectant, hopeful	forventningsfull
expectorant	slimløsende
expectorate	hoste opp
expediency	hensiktsmessighet
expedient	hensiktsmessig
expedient	utvei
expedite, quicken	påskynde
expedition	ekspedisjon
expeditious	ekspeditt
expel	utvise
expencive, animal, costly, pricey, dear, expensive	dyr
expenditure	forbruk
expenditure	utgifter
expenses	omkostning
experience	erfaring
experienced	erfaren
experiment	eksperiment
expert	ekspert
expert	fagmann
expert	sakkyndig
expiration	utløp
expiration	utånding
expire	utånde
explain, define	forklare
explanation	forklaring
explicit, expressly	uttrykkelig
explode	eksplodere
exploit	bedrift
exploit	dåd
exploit	utnytte
exploitation	nyttiggjøring
exploitation	utnyttelse
exploration	utforskning
exploratory drilling	prøveboring
explore	utforske
explorer	oppdagelsesreisende
explorer	utforsker
explosion	eksplosjon
explosive	eksplosiv
explosive	sprengstoff
exponent	eksponent
exponent	talsmann
export	eksportere
export	utførsel
exportation, export	eksport
exports	utførselsvarer
expose	stille ut
expose, delay, adjourn	utsette
exposure	eksponering
exposure	utsetting
express	ekspress
express	expresstog
express	ilbud
expression	uttrykk
expressive	uttrykksfull
expulsion	fordrivelse
expulsion	utvisning
exquisite	utsøkt
extencionflex, extension lead	skjøteledning
extensible	strekkbar
extension	forlengelse
extension, extension, expansion	utvidelse
extensive, comprehensive	omfattende
extensive, large	utstrakt
extent	omfang
extent, extension	utstrekning
extenuate	mildne
extenuated circumstances	formildende omstendigheter
exterior	utside
exterminate	tilintetgjøre
extermination	utryddelse
external	utenriks
external, exterior	utvendig
external, exterior	ytre
extinct	sloknet
extinct	utdødd
extinction	slokking
extinction	utslettelse
extinguish	slokke
extinguisher	slokkingsapparat
extort, crush	presse
extortion	utpressing
extract	ekstrakt
extract	trekke ut
extractable	utvinnbar
extraction	avstamning
extraction	uttrekking
extraction	utvinning
extradite	utlevere
extradition	utlevering
extraordinary, queer	merkelig
extravagance	ekstravaganse
extravagance	urimelighet
extravagance	ødselhet
extravagant	ekstravagant
extravagant	ødsel
extravasation	bloduttredelse
extreme	drastisk
extreme	ekstrem
extreme	ekstreme
extreme	ytterlighet
extremely	høyst
extremely, extreme, extreme	ytterst
extremity	ekstremitet
extremity	ytterpunkt
extrication, liberation	frigjøring
exuberance	frodighet
exuberance, abundance	overflod
exuberant, lush	frodig
exult	juble
exultation	jubel
eye	øye
eyeball	øyeeple
eyebrow	øyenbryn
eyelash	øyenvippe
eyelid	øyelokk
eyesocket	øyenhule
eyewitness	øyenvitne
fable	dikte
fable	fabel
fable	fable
fabric	vevning
fabric, dope	stoff
fabricate	dikte opp
fabrication	oppspinn
fabulous	fabelaktig
face	ansikt
face	overflate
face	stå overfor
face	tallskive
facelift	ansiktsløftning
facepack	ansiktsmaske
facetious, jocular	spøkefull
facetissue	ansiktsserviett
facial	ansikts-
facilities	hjelpemidler
facilities	muligheter
fact	faktum
fact	kjennsgjerning
faction	fraksjon
faction, group	gruppe
factious	fraksjonsdannende
factor	faktor
factory	fabrikk
factual	saklig
factual, actual	faktisk
faculty	fakultet
faculty, capability	evne
fad	kjepphest
fad, quirk, impulse	innfall
fade	dø hen
fade	falme
fade	toning
fade	visne
fade, quell, curb, dim	dempe
fag, labour	slit
fag, labour	slite
faggot	risknippe
fail	forsømme
fail	slå feil
fail	stryke
fail, forsake, falter	svikte
failure	falitt
failure	svikt
faint	besvime
faint, feeble, frail, dim	svak
fairly	nokså
fairway	skipsled
fairy	fe
fairytale, adventure	eventyr
faith	tillit
faith, belief	tro
faithless	troløs
faker	forfalsker
falcon	falk
fall	fall
fall	falle
fallacy	feilslutning
Fallobian tube	eggleder
fallout	konsekvenser
fallout	nedfall
fallow	brakkmark
falls, waterfall	foss
false, bastard, insincere	uekte
falsehood, lie	løgn
falter, hesitate, linger	nøle
faltering	nølende
faltering	vaklende
fame	berømmelse
fame	ry
familiar	velkjent
familiarity, intimacy	fortrolighet
familiarize	gjøre seg kjent med
family	familie
famine	hungersnød
famished	skrubbsulten
famous	berømt
fan	beundrer
fan	kornrenser
fan	vifte
fanatic	fanatisk
fanaticism	fanatisme
fanbelt	viftereim
fancy	mønstret
fancy	pyntet
fantastic	fantastisk
far	langt borte
far, remote, distant, far	fjern
far-fetched	søkt
far-fetched, improbable	usannsynlig
fare	billettpris
fare	takst
faremeter	taksameter
farestage	takstsone
farewell	farvell
farewell, dismissal	avskjed
farm, ranch, property, estate	gård
farmer	gårdbruker
farming	jordbruk
farmyard, yard	gårdsplass
farther	fjernere
farther	lengre
farthest	fjernest
farthest	lengst
fashion	mote
fashion	måte
fashionable	moderne
fashionable, elegant	elegant
fast train	hurtigtog
fast, brisk, expeditious, hurried, hasty	rask
fast, Lent	faste
fasten	lukke
fastener, lock, interlock	lås
fastidious, fussy	kresen
fastness	hurtighet
fat	fet
fatal	dødbringende
fatal, fateful	skjebnesvanger
fatality	skjebnebestemt
fatality, accident, disaster	ulykke
fatally	skjebnesvangert
father	far
father-in-law	svigerfar
fatherhood	farskap
fatherless	farløs
fatherly	faderlig
fathom	favn
fathom, capelin	lodde
fatigue	tretthet
fattiness	fettholdighet
faucet	tappekran
fault, defect, flaw, error, mistake, lapse	feil
fault, guilt	skyld
faultless, flawless	feilfri
favour	begunstige
favour	tjeneste
favourable	gunstig
favoured	begunstiget
favourite	favoritt
favourite	yndling
fax	fakse
faxmachine	faks
fear	frykte
fear	være redd for
fearful	engstelig
feasibility	gjennomførlighet
feasibility	mulighet
feasible	gjennomførlig
feasible	mulig
feast	fest
feast	pryd
feat	prestasjon
feather	fjær
feathery	fjærkledd
feathery	fjærlett
feature	attraksjon
feature	innslag
feature, draught	trekk
featureless	uten særpreg
febrifuge	febernedsettende middel
February	februar
fecund, fertile, fruitful	fruktbar
fed up	lei
federal	forbunds-
federal	føderal
federate	gå sammen i forbund
federation	føderasjon
fee	gebyr
fee	honorar
feed	mate
feed, eat	spise
feed, line	fôre
feed, meal	måltid
feedback	tilbakemelding
feeder	en som mater
feel	føle
feel	kjenne
feeler	føler
feeler, antenna	følehorn
feeling, emotion	følelse
feet	føtter
feign	late som
felicitate	lykkønske
felicitation	lykkønsning
fellow	kamerat
fellow	medlem
fellow	stipendiat
fellowship	fellesskap
fellowship	kameratskap
felon	forbryter
felony, crime	forbrytelse
felt	filt
female	hunn
feminine, female	kvinnelig
fence	fekte
fence	gjerde
fence	hele
fence, handler	heler
fencer	fekter
fencing	fekting
fend off	avverge
fend off	parere
fender	bilskjerm
fender	fender
fender, bumper, buffer	støtfanger
fennel	fennikel
ferment	gjære
ferment	gjæringsmiddel
fermentation	gjæring
fern	bregne
ferocious	glupsk
ferocious, frantic	vill
ferret	fritte
ferret	lider
ferret	oppspore
ferry, ferry	ferje
fertility	fruktbarhet
fertilization	befruktning
fertilize	befrukte
fertilize	gjødsle
fertilizer	kunstgjødsel
fervour	inderlighet
festival	festspill
festival, feast	høytid
festive	festlig
festivity	festlighet
festoon	girlander
fetter	fotlenke
feud	feide
feud	strid
feudal	føydal
feudalism	føydalisme
feudalism	lensvesen
fever	feber
feverish	febrilsk
fiancèe	forlovede
fib	liten løgn
fibre	fiber
fibre	støpning
fickle	ustadig
fiction	diktning
fiction	oppdiktning
fiction	skjønnlitteratur
fictitious	oppdiktet
fictive, fictitious	fiktiv
fiddle	fele
fidelity	troskap
fidgety	være urolig
field	felt
field	jorde
fiend, devil	djevel
fierce	sint
fiery	flammende
fiery	fyrig
fiery, impetuous	heftig
fifteen	femten
fifth	femte
fiftieth	femtiende
fifty	femti
fig	fiken
fig	fikentre
fight	kamp
fight	slåss
fight, giant	kjempe
fighterjet	jagerfly
figure	figurere
figure	framstille
figure	tall
figure, form	skikkelse
file	arkiv
file	fil
file	kartotek
filial	datterlig
filial	sønnlig
filigree	filigran
fill	fylle
fill	plombere
fillet	filèt
filling	plombe
filling, fill	fyll
filly	hoppeføll
film	filme
film	hinne
filter	filter
filter	filtrere
filth	smuss
filth, dirt, grime, shit	skitt
final	sist
finale, final	finale
finalize	sluttføre
finally	tilslutt
finals	avgangseksamen
finance	finans
finance, fund	finansiere
finances	finanser
financial	finans-
find, fin	finne
finder	søker
finding	kjennelse
finding, find	funn
findings	resultater
fine	bot
fine	bøtele
fine	mulkt
fine, beautiful	pen
fineness	finhet
finger	finger
finger	fingre med
finger	ta på
fingerprint	fingeravtrykk
finish	avslutte
finish	finpuss
finish	oppløp
finish	sluttstrøk
finished	fullbrakt
finished, done	ferdig
fir	gran
fir, pine, pine tree	furu
fire	brann
fire	bål
fire	fyre av
fire	ild
fire	lidenskap
fire	varme
fire, kick	sparke
fire-extinguisher	brannslukkings-apparat
firing	avfyring
firing	skyting
firm	fast
firm	firma
firm	standhaftig
firmness	fasthet
first	første
firstly	for det første
fish	fisk
fish	fiske
fish hook	fiskekrok
fisheries	fiskeri
fisherman	fisker
fishfarm	fiskeoppdretter
fishfarm	havbruk
fishing rod	fiskestang
fishmonger	fiskehandler
fission	spalting
fist	knyttneve
fist	neve
fit	skikket
fitness	egenhet
fitness	kondisjon
fitted	tilpasset
fitter	montør
fitting	montering
fitting, appropriate, eligible, fit, convenient	passende
fittings	armatur
five	fem
fix	fiksere
fix	ordne
fix, fasten	feste
fixation	binding
fixation	fiksering
fixative	bindemiddel
fixed	fastsatt
fixed	festet
fizz	bruse
fizzy	musserende
fjord, loch, firth, inlet	fjord
flabbergast	forbløffende
flabby	pløsete
flagpole	flaggstang
flagrant	åpenbar
flagstone, incline, lean	helle
flair	teft
flair, elegance	eleganse
flair, nose, nose	nese
flak	antiluftskyts
flake	flak
flake	fnugg
flake off	flasse
flake off	skalle av
flan	fruktterte
flank	flanke
flannel	flanell
flannels	flanellsbukser
flap	blafring
flap	klaff
flare	bluss
flare	blusse
flare	flakke
flash	blink
flash, gleam, glint, glimpse	glimt
flash, glint	blinke
flashbulb	blitzpære
flasher	blitz
flasher, direction-indicator	blinklys
flashlight, electric torch	lommelykt
flashy	prangende
flashy, gaudy	glorete
flask	kolbe
flat	leilighet
flat	punktering
flat, delete	slette
flat, flat, even, smooth	flat
flat, level	flate
flat-footed	plattfot
flat-iron	strykejern
flatly	kategorisk
flatten	gjøre flat
flatter	smigre
flatterer	smigrer
flattery	smiger
flavour	aroma
flaw, lack, defect, deficiency, absence	mangel
flax, linen	lin
flea	loppe
flee, fly	flykte
fleece, flay	flå
fleece, hide	skinn
fleecy	ullen
fleet	vognpark
flex	ledning
flexibility	bøyelighet
flexibility	fleksibilitet
flexible	bøyelig
flexible	fleksibel
flicker	flimre
flicker, flap	blafre
flight	flygning
flight	flytur
flight	svev
flight, escape	flukt
